,reads,umis
PZ-MB-TChIC-K562-H3K4me3-C_112,63154,63154
PZ-MB-TChIC-K562-H3K4me3-C_119,81695,81695
PZ-TChIC-K562-SC-H3K27me3-CT_32,78870,78870
PZ-TChIC-K562-SC-H3K27me3-CT_237,28348,28348
PZ-TChIC-K562-SC-H3K27me3-C_138,29509,29509
PZ-TChIC-K562-SC-H3K27me3-CT_271,36104,36104
PZ-TChIC-K562-SC-H3K27me3-CT_14,21293,21293
PZ-TChIC-K562-SC-H3K27me3-C_8,18564,18564
PZ-TChIC-K562-SC-H3K27me3-CT_56,19643,19643
PZ-TChIC-K562-SC-H3K27me3-C_282,31477,31477
PZ-TChIC-K562-SC-H3K27me3-C_373,28856,28856
PZ-TChIC-K562-SC-H3K27me3-CT_30,41305,41305
PZ-TChIC-K562-SC-H3K27me3-CT_316,33777,33777
PZ-TChIC-K562-SC-H3K27me3-CT_41,34534,34534
PZ-TChIC-K562-SC-H3K27me3-CT_360,32145,32145
PZ-TChIC-K562-SC-H3K27me3-CT_64,48255,48255
PZ-TChIC-K562-SC-H3K27me3-CT_194,30643,30643
PZ-TChIC-K562-SC-H3K27me3-C_128,30087,30087
PZ-TChIC-K562-SC-H3K27me3-C_114,33572,33572
PZ-TChIC-K562-SC-H3K27me3-CT_319,49621,49621
PZ-TChIC-K562-SC-H3K27me3-CT_251,15018,15018
PZ-TChIC-K562-SC-H3K27me3-C_323,29923,29923
PZ-TChIC-K562-SC-H3K27me3-CT_322,74933,74933
PZ-TChIC-K562-SC-H3K27me3-CT_144,9736,9736
PZ-MB-TChIC-K562-H3K4me3-C_64,62129,62129
PZ-MB-TChIC-K562-H3K4me3-T_185,27305,27305
PZ-TChIC-K562-SC-H3K27me3-CT_341,47411,47411
PZ-MB-TChIC-K562-H3K4me3-C_308,16806,16806
PZ-MB-TChIC-K562-H3K4me3-C_311,26597,26597
PZ-MB-TChIC-K562-H3K4me3-C_355,32180,32180
PZ-MB-TChIC-K562-H3K4me3-T_314,12225,12225
PZ-MB-TChIC-K562-H3K4me3-C_75,25621,25621
PZ-TChIC-K562-SC-H3K27me3-C_124,32206,32206
PZ-TChIC-K562-SC-H3K27me3-CT_334,35358,35358
PZ-TChIC-K562-SC-H3K27me3-CT_112,28147,28147
PZ-TChIC-K562-SC-H3K27me3-C_81,13063,13063
PZ-MB-TChIC-K562-H3K4me3-T_237,8511,8511
PZ-TChIC-K562-SC-H3K27me3-CT_351,16110,16110
PZ-TChIC-K562-SC-H3K27me3-C_333,31950,31950
PZ-TChIC-K562-SC-H3K27me3-C_239,29432,29432
PZ-TChIC-K562-SC-H3K27me3-C_99,29924,29924
PZ-MB-TChIC-K562-H3K4me3-C_188,128504,128504
PZ-TChIC-K562-SC-H3K27me3-CT_6,58100,58100
PZ-TChIC-K562-SC-H3K27me3-CT_381,54209,54209
PZ-TChIC-K562-SC-H3K27me3-C_151,14539,14539
PZ-TChIC-K562-SC-H3K27me3-C_369,20126,20126
PZ-TChIC-K562-SC-H3K27me3-C_156,20163,20163
PZ-MB-TChIC-K562-H3K4me3-C_243,70925,70925
PZ-TChIC-K562-SC-H3K27me3-C_214,25520,25520
PZ-TChIC-K562-SC-H3K27me3-C_364,22492,22492
PZ-TChIC-K562-SC-H3K27me3-CT_281,43723,43723
PZ-TChIC-K562-SC-H3K27me3-C_351,23648,23648
PZ-TChIC-K562-SC-H3K27me3-C_168,33160,33160
PZ-TChIC-K562-SC-H3K27me3-C_343,18763,18763
PZ-TChIC-K562-SC-H3K27me3-C_166,16185,16185
PZ-TChIC-K562-SC-H3K27me3-C_177,45438,45438
PZ-TChIC-K562-SC-H3K27me3-C_116,9077,9077
PZ-TChIC-K562-SC-H3K27me3-C_157,38236,38236
PZ-TChIC-K562-SC-H3K27me3-CT_255,22149,22149
PZ-TChIC-K562-SC-H3K27me3-CT_15,56939,56939
PZ-TChIC-K562-SC-H3K27me3-C_299,33070,33070
PZ-MB-TChIC-K562-H3K4me3-CT_159,4075,4075
PZ-TChIC-K562-SC-H3K27me3-CT_135,35129,35129
PZ-TChIC-K562-SC-H3K27me3-CT_183,61244,61244
PZ-TChIC-K562-SC-H3K27me3-CT_67,35987,35987
PZ-TChIC-K562-SC-H3K27me3-C_41,31260,31260
PZ-MB-TChIC-K562-H3K4me3-C_248,32939,32939
PZ-TChIC-K562-SC-H3K27me3-C_337,16232,16232
PZ-TChIC-K562-SC-H3K27me3-C_380,16530,16530
PZ-TChIC-K562-SC-H3K27me3-CT_196,12180,12180
PZ-TChIC-K562-SC-H3K27me3-C_358,34518,34518
PZ-TChIC-K562-SC-H3K27me3-CT_192,55779,55779
PZ-TChIC-K562-SC-H3K27me3-CT_354,37335,37335
PZ-TChIC-K562-SC-H3K27me3-C_363,14631,14631
PZ-TChIC-K562-SC-H3K27me3-C_2,15512,15512
PZ-TChIC-K562-SC-H3K27me3-CT_125,43655,43655
PZ-MB-TChIC-K562-H3K4me3-C_364,38592,38592
PZ-TChIC-K562-SC-H3K27me3-CT_275,48418,48418
PZ-TChIC-K562-SC-H3K27me3-CT_181,19775,19775
PZ-TChIC-K562-SC-H3K27me3-C_205,18080,18080
PZ-TChIC-K562-SC-H3K27me3-CT_169,22049,22049
PZ-TChIC-K562-SC-H3K27me3-C_238,20977,20977
PZ-TChIC-K562-SC-H3K27me3-CT_13,45556,45556
PZ-TChIC-K562-SC-H3K27me3-C_28,19043,19043
PZ-MB-TChIC-K562-H3K4me3-C_85,90288,90288
PZ-TChIC-K562-SC-H3K27me3-C_211,39621,39621
PZ-TChIC-K562-SC-H3K27me3-CT_362,64191,64191
PZ-TChIC-K562-SC-H3K27me3-C_271,20132,20132
PZ-TChIC-K562-SC-H3K27me3-CT_321,15674,15674
PZ-TChIC-K562-SC-H3K27me3-CT_96,18437,18437
PZ-TChIC-K562-SC-H3K27me3-C_347,24713,24713
PZ-TChIC-K562-SC-H3K27me3-CT_2,45290,45290
PZ-TChIC-K562-SC-H3K27me3-C_180,28161,28161
PZ-TChIC-K562-SC-H3K27me3-C_6,31781,31781
PZ-TChIC-K562-SC-H3K27me3-CT_128,22958,22958
PZ-TChIC-K562-SC-H3K27me3-CT_158,6388,6388
PZ-MB-TChIC-K562-H3K4me3-T_257,4922,4922
PZ-MB-TChIC-K562-H3K4me3-CT_295,2867,2867
PZ-MB-TChIC-K562-H3K4me3-C_141,120773,120773
PZ-TChIC-K562-SC-H3K27me3-CT_377,40509,40509
PZ-TChIC-K562-SC-H3K27me3-CT_66,41067,41067
PZ-TChIC-K562-SC-H3K27me3-CT_156,16990,16990
PZ-TChIC-K562-SC-H3K27me3-CT_197,7912,7912
PZ-TChIC-K562-SC-H3K27me3-CT_252,47464,47464
PZ-TChIC-K562-SC-H3K27me3-CT_228,51768,51768
PZ-MB-TChIC-K562-H3K4me3-CT_367,6685,6685
PZ-MB-TChIC-K562-H3K4me3-C_286,60710,60710
PZ-MB-TChIC-K562-H3K4me3-C_18,29902,29902
PZ-TChIC-K562-SC-H3K27me3-C_210,20901,20901
PZ-TChIC-K562-SC-H3K27me3-CT_35,15206,15206
PZ-TChIC-K562-SC-H3K27me3-CT_290,25326,25326
PZ-TChIC-K562-SC-H3K27me3-CT_3,38098,38098
PZ-TChIC-K562-SC-H3K27me3-C_281,25266,25266
PZ-MB-TChIC-K562-H3K4me3-T_186,13513,13513
PZ-MB-TChIC-K562-H3K4me3-CT_48,3497,3497
PZ-MB-TChIC-K562-H3K4me3-CT_29,3012,3012
PZ-MB-TChIC-K562-H3K4me3-C_240,85963,85963
PZ-MB-TChIC-K562-H3K4me3-C_223,85654,85654
PZ-MB-TChIC-K562-H3K4me3-C_261,39727,39727
PZ-TChIC-K562-SC-H3K27me3-C_109,20216,20216
PZ-TChIC-K562-SC-H3K27me3-CT_366,21228,21228
PZ-TChIC-K562-SC-H3K27me3-CT_382,81000,81000
PZ-TChIC-K562-SC-H3K27me3-C_90,42593,42593
PZ-TChIC-K562-SC-H3K27me3-CT_134,20966,20966
PZ-TChIC-K562-SC-H3K27me3-CT_358,40420,40420
PZ-TChIC-K562-SC-H3K27me3-CT_318,22119,22119
PZ-TChIC-K562-SC-H3K27me3-C_341,42053,42053
PZ-MB-TChIC-K562-H3K4me3-CT_68,3421,3421
PZ-TChIC-K562-SC-H3K27me3-C_382,25820,25820
PZ-MB-TChIC-K562-H3K4me3-C_258,22058,22058
PZ-MB-TChIC-K562-H3K4me3-C_10,16888,16888
PZ-MB-TChIC-K562-H3K4me3-C_318,58177,58177
PZ-MB-TChIC-K562-H3K4me3-C_262,49622,49622
PZ-MB-TChIC-K562-H3K4me3-T_331,7222,7222
PZ-MB-TChIC-K562-H3K4me3-C_139,110958,110958
PZ-TChIC-K562-SC-H3K27me3-C_65,37576,37576
PZ-TChIC-K562-SC-H3K27me3-C_38,33321,33321
PZ-TChIC-K562-SC-H3K27me3-C_37,31571,31571
PZ-MB-TChIC-K562-H3K4me3-CT_371,5723,5723
PZ-TChIC-K562-SC-H3K27me3-C_335,25586,25586
PZ-TChIC-K562-SC-H3K27me3-CT_233,46376,46376
PZ-TChIC-K562-SC-H3K27me3-CT_78,42232,42232
PZ-TChIC-K562-SC-H3K27me3-CT_273,52659,52659
PZ-TChIC-K562-SC-H3K27me3-CT_328,16107,16107
PZ-TChIC-K562-SC-H3K27me3-CT_175,17820,17820
PZ-TChIC-K562-SC-H3K27me3-C_374,21795,21795
PZ-MB-TChIC-K562-H3K4me3-C_348,17683,17683
PZ-TChIC-K562-SC-H3K27me3-C_60,13312,13312
PZ-TChIC-K562-SC-H3K27me3-C_230,37736,37736
PZ-TChIC-K562-SC-H3K27me3-C_273,26033,26033
PZ-TChIC-K562-SC-H3K27me3-C_229,31929,31929
PZ-TChIC-K562-SC-H3K27me3-CT_148,24496,24496
PZ-TChIC-K562-SC-H3K27me3-CT_222,33687,33687
PZ-TChIC-K562-SC-H3K27me3-C_30,33906,33906
PZ-TChIC-K562-SC-H3K27me3-CT_218,23170,23170
PZ-TChIC-K562-SC-H3K27me3-C_311,15545,15545
PZ-TChIC-K562-SC-H3K27me3-CT_82,46709,46709
PZ-TChIC-K562-SC-H3K27me3-C_354,13801,13801
PZ-MB-TChIC-K562-H3K4me3-CT_266,1932,1932
PZ-TChIC-K562-SC-H3K27me3-CT_243,31270,31270
PZ-MB-TChIC-K562-H3K4me3-CT_174,5552,5552
PZ-TChIC-K562-SC-H3K27me3-CT_70,66558,66558
PZ-TChIC-K562-SC-H3K27me3-CT_27,47735,47735
PZ-MB-TChIC-K562-H3K4me3-C_350,14298,14298
PZ-TChIC-K562-SC-H3K27me3-CT_279,43827,43827
PZ-MB-TChIC-K562-H3K4me3-C_265,87035,87035
PZ-TChIC-K562-SC-H3K27me3-CT_110,22429,22429
PZ-TChIC-K562-SC-H3K27me3-C_266,17569,17569
PZ-TChIC-K562-SC-H3K27me3-CT_249,22378,22378
PZ-MB-TChIC-K562-H3K4me3-C_283,43325,43325
PZ-TChIC-K562-SC-H3K27me3-C_277,26259,26259
PZ-MB-TChIC-K562-H3K4me3-C_89,34137,34137
PZ-TChIC-K562-SC-H3K27me3-C_197,25518,25518
PZ-TChIC-K562-SC-H3K27me3-C_139,26128,26128
PZ-MB-TChIC-K562-H3K4me3-C_351,22711,22711
PZ-MB-TChIC-K562-H3K4me3-CT_226,10497,10497
PZ-MB-TChIC-K562-H3K4me3-T_267,5115,5115
PZ-MB-TChIC-K562-H3K4me3-C_320,37316,37316
PZ-MB-TChIC-K562-H3K4me3-C_81,34941,34941
PZ-MB-TChIC-K562-H3K4me3-C_207,66507,66507
PZ-MB-TChIC-K562-H3K4me3-C_331,48498,48498
PZ-MB-TChIC-K562-H3K4me3-C_142,67777,67777
PZ-MB-TChIC-K562-H3K4me3-C_208,61767,61767
PZ-TChIC-K562-SC-H3K27me3-CT_217,30099,30099
PZ-TChIC-K562-SC-H3K27me3-CT_212,23690,23690
PZ-TChIC-K562-SC-H3K27me3-CT_174,42144,42144
PZ-MB-TChIC-K562-H3K4me3-T_341,2082,2082
PZ-TChIC-K562-SC-H3K27me3-C_165,16942,16942
PZ-TChIC-K562-SC-H3K27me3-CT_93,28465,28465
PZ-TChIC-K562-SC-H3K27me3-CT_357,39550,39550
PZ-TChIC-K562-SC-H3K27me3-CT_376,46980,46980
PZ-TChIC-K562-SC-H3K27me3-C_24,21709,21709
PZ-TChIC-K562-SC-H3K27me3-C_83,25290,25290
PZ-TChIC-K562-SC-H3K27me3-C_182,27560,27560
PZ-TChIC-K562-SC-H3K27me3-CT_286,14852,14852
PZ-TChIC-K562-SC-H3K27me3-CT_154,26612,26612
PZ-TChIC-K562-SC-H3K27me3-CT_202,67991,67991
PZ-TChIC-K562-SC-H3K27me3-CT_179,33952,33952
PZ-TChIC-K562-SC-H3K27me3-CT_152,21296,21296
PZ-TChIC-K562-SC-H3K27me3-CT_26,22730,22730
PZ-TChIC-K562-SC-H3K27me3-CT_186,38198,38198
PZ-TChIC-K562-SC-H3K27me3-C_235,37443,37443
PZ-TChIC-K562-SC-H3K27me3-CT_138,24539,24539
PZ-TChIC-K562-SC-H3K27me3-C_356,29968,29968
PZ-TChIC-K562-SC-H3K27me3-C_255,34055,34055
PZ-TChIC-K562-SC-H3K27me3-C_161,26603,26603
PZ-TChIC-K562-SC-H3K27me3-C_293,19619,19619
PZ-TChIC-K562-SC-H3K27me3-C_111,36144,36144
PZ-TChIC-K562-SC-H3K27me3-C_67,35654,35654
PZ-TChIC-K562-SC-H3K27me3-C_267,20940,20940
PZ-TChIC-K562-SC-H3K27me3-CT_118,26643,26643
PZ-MB-TChIC-K562-H3K4me3-C_56,14974,14974
PZ-TChIC-K562-SC-H3K27me3-C_174,22027,22027
PZ-TChIC-K562-SC-H3K27me3-CT_83,28814,28814
PZ-TChIC-K562-SC-H3K27me3-CT_19,19054,19054
PZ-TChIC-K562-SC-H3K27me3-CT_173,43596,43596
PZ-TChIC-K562-SC-H3K27me3-C_322,28282,28282
PZ-TChIC-K562-SC-H3K27me3-C_10,16263,16263
PZ-TChIC-K562-SC-H3K27me3-C_172,30222,30222
PZ-TChIC-K562-SC-H3K27me3-C_162,24562,24562
PZ-TChIC-K562-SC-H3K27me3-C_361,38929,38929
PZ-TChIC-K562-SC-H3K27me3-CT_355,30614,30614
PZ-TChIC-K562-SC-H3K27me3-C_131,30992,30992
PZ-TChIC-K562-SC-H3K27me3-CT_130,32154,32154
PZ-TChIC-K562-SC-H3K27me3-C_18,35209,35209
PZ-TChIC-K562-SC-H3K27me3-CT_100,37134,37134
PZ-TChIC-K562-SC-H3K27me3-CT_256,38550,38550
PZ-TChIC-K562-SC-H3K27me3-C_14,28965,28965
PZ-TChIC-K562-SC-H3K27me3-C_115,19382,19382
PZ-TChIC-K562-SC-H3K27me3-C_26,16383,16383
PZ-TChIC-K562-SC-H3K27me3-C_79,23269,23269
PZ-TChIC-K562-SC-H3K27me3-CT_367,35377,35377
PZ-MB-TChIC-K562-H3K4me3-T_273,9186,9186
PZ-MB-TChIC-K562-H3K4me3-CT_259,7219,7219
PZ-TChIC-K562-SC-H3K27me3-CT_259,48438,48438
PZ-TChIC-K562-SC-H3K27me3-C_142,32166,32166
PZ-MB-TChIC-K562-H3K4me3-CT_102,3442,3442
PZ-TChIC-K562-SC-H3K27me3-CT_24,34131,34131
PZ-TChIC-K562-SC-H3K27me3-CT_50,29366,29366
PZ-MB-TChIC-K562-H3K4me3-C_220,45212,45212
PZ-MB-TChIC-K562-H3K4me3-C_324,28621,28621
PZ-MB-TChIC-K562-H3K4me3-C_171,15877,15877
PZ-MB-TChIC-K562-H3K4me3-T_334,9100,9100
PZ-MB-TChIC-K562-H3K4me3-C_26,25414,25414
PZ-MB-TChIC-K562-H3K4me3-C_330,67657,67657
PZ-TChIC-K562-SC-H3K27me3-CT_106,17925,17925
PZ-TChIC-K562-SC-H3K27me3-CT_379,38471,38471
PZ-TChIC-K562-SC-H3K27me3-C_144,22674,22674
PZ-TChIC-K562-SC-H3K27me3-CT_207,19401,19401
PZ-TChIC-K562-SC-H3K27me3-CT_94,43054,43054
PZ-TChIC-K562-SC-H3K27me3-C_314,27337,27337
PZ-TChIC-K562-SC-H3K27me3-C_191,24909,24909
PZ-TChIC-K562-SC-H3K27me3-CT_4,27475,27475
PZ-TChIC-K562-SC-H3K27me3-CT_161,31641,31641
PZ-TChIC-K562-SC-H3K27me3-C_260,26651,26651
PZ-TChIC-K562-SC-H3K27me3-CT_162,15679,15679
PZ-TChIC-K562-SC-H3K27me3-C_316,20359,20359
PZ-TChIC-K562-SC-H3K27me3-CT_317,33050,33050
PZ-TChIC-K562-SC-H3K27me3-CT_206,30398,30398
PZ-MB-TChIC-K562-H3K4me3-C_356,31495,31495
PZ-TChIC-K562-SC-H3K27me3-C_71,44481,44481
PZ-MB-TChIC-K562-H3K4me3-C_77,31967,31967
PZ-TChIC-K562-SC-H3K27me3-CT_295,29039,29039
PZ-TChIC-K562-SC-H3K27me3-CT_240,8826,8826
PZ-TChIC-K562-SC-H3K27me3-CT_29,27369,27369
PZ-TChIC-K562-SC-H3K27me3-C_134,33724,33724
PZ-TChIC-K562-SC-H3K27me3-CT_143,23723,23723
PZ-TChIC-K562-SC-H3K27me3-C_118,19006,19006
PZ-TChIC-K562-SC-H3K27me3-C_270,19800,19800
PZ-TChIC-K562-SC-H3K27me3-CT_71,59580,59580
PZ-TChIC-K562-SC-H3K27me3-CT_305,7917,7917
PZ-TChIC-K562-SC-H3K27me3-C_66,24077,24077
PZ-TChIC-K562-SC-H3K27me3-CT_109,22319,22319
PZ-TChIC-K562-SC-H3K27me3-CT_108,23967,23967
PZ-TChIC-K562-SC-H3K27me3-C_148,22807,22807
PZ-TChIC-K562-SC-H3K27me3-CT_201,44584,44584
PZ-TChIC-K562-SC-H3K27me3-C_332,8826,8826
PZ-TChIC-K562-SC-H3K27me3-C_345,32514,32514
PZ-MB-TChIC-K562-H3K4me3-C_365,52679,52679
PZ-TChIC-K562-SC-H3K27me3-C_312,13300,13300
PZ-MB-TChIC-K562-H3K4me3-T_184,14517,14517
PZ-TChIC-K562-SC-H3K27me3-C_119,31351,31351
PZ-TChIC-K562-SC-H3K27me3-CT_159,22634,22634
PZ-TChIC-K562-SC-H3K27me3-CT_297,25486,25486
PZ-TChIC-K562-SC-H3K27me3-C_173,26880,26880
PZ-TChIC-K562-SC-H3K27me3-CT_289,19235,19235
PZ-TChIC-K562-SC-H3K27me3-CT_149,28949,28949
PZ-TChIC-K562-SC-H3K27me3-C_272,24245,24245
PZ-TChIC-K562-SC-H3K27me3-C_154,28561,28561
PZ-TChIC-K562-SC-H3K27me3-C_15,37506,37506
PZ-MB-TChIC-K562-H3K4me3-C_277,87330,87330
PZ-MB-TChIC-K562-H3K4me3-C_329,40733,40733
PZ-TChIC-K562-SC-H3K27me3-C_329,32794,32794
PZ-TChIC-K562-SC-H3K27me3-CT_171,8486,8486
PZ-TChIC-K562-SC-H3K27me3-CT_46,38391,38391
PZ-TChIC-K562-SC-H3K27me3-CT_141,20650,20650
PZ-TChIC-K562-SC-H3K27me3-CT_119,24293,24293
PZ-TChIC-K562-SC-H3K27me3-CT_250,22656,22656
PZ-TChIC-K562-SC-H3K27me3-C_112,27564,27564
PZ-TChIC-K562-SC-H3K27me3-CT_21,25523,25523
PZ-TChIC-K562-SC-H3K27me3-CT_361,41181,41181
PZ-TChIC-K562-SC-H3K27me3-CT_117,34937,34937
PZ-TChIC-K562-SC-H3K27me3-CT_84,22565,22565
PZ-TChIC-K562-SC-H3K27me3-CT_107,51083,51083
PZ-TChIC-K562-SC-H3K27me3-CT_333,31281,31281
PZ-TChIC-K562-SC-H3K27me3-C_264,24324,24324
PZ-TChIC-K562-SC-H3K27me3-CT_198,7908,7908
PZ-TChIC-K562-SC-H3K27me3-C_155,34648,34648
PZ-TChIC-K562-SC-H3K27me3-C_178,35285,35285
PZ-TChIC-K562-SC-H3K27me3-C_125,18274,18274
PZ-TChIC-K562-SC-H3K27me3-C_268,19071,19071
PZ-TChIC-K562-SC-H3K27me3-C_175,12720,12720
PZ-TChIC-K562-SC-H3K27me3-C_206,25176,25176
PZ-TChIC-K562-SC-H3K27me3-C_86,23529,23529
PZ-TChIC-K562-SC-H3K27me3-C_375,36845,36845
PZ-MB-TChIC-K562-H3K4me3-C_106,39407,39407
PZ-MB-TChIC-K562-H3K4me3-C_47,25240,25240
PZ-MB-TChIC-K562-H3K4me3-C_209,69468,69468
PZ-MB-TChIC-K562-H3K4me3-C_40,79212,79212
PZ-TChIC-K562-SC-H3K27me3-CT_89,17988,17988
PZ-TChIC-K562-SC-H3K27me3-CT_227,24620,24620
PZ-TChIC-K562-SC-H3K27me3-CT_294,32241,32241
PZ-MB-TChIC-K562-H3K4me3-T_309,3928,3928
PZ-MB-TChIC-K562-H3K4me3-C_125,52510,52510
PZ-TChIC-K562-SC-H3K27me3-C_54,28284,28284
PZ-TChIC-K562-SC-H3K27me3-C_224,37116,37116
PZ-TChIC-K562-SC-H3K27me3-C_257,22302,22302
PZ-MB-TChIC-K562-H3K4me3-C_273,118726,118726
PZ-MB-TChIC-K562-H3K4me3-T_38,2404,2404
PZ-MB-TChIC-K562-H3K4me3-C_189,133701,133701
PZ-TChIC-K562-SC-H3K27me3-C_259,26623,26623
PZ-TChIC-K562-SC-H3K27me3-C_122,31929,31929
PZ-TChIC-K562-SC-H3K27me3-CT_170,42064,42064
PZ-TChIC-K562-SC-H3K27me3-C_297,27892,27892
PZ-TChIC-K562-SC-H3K27me3-CT_264,17899,17899
PZ-TChIC-K562-SC-H3K27me3-C_327,16413,16413
PZ-TChIC-K562-SC-H3K27me3-CT_48,23166,23166
PZ-TChIC-K562-SC-H3K27me3-C_294,54425,54425
PZ-TChIC-K562-SC-H3K27me3-CT_309,20356,20356
PZ-TChIC-K562-SC-H3K27me3-C_61,13971,13971
PZ-TChIC-K562-SC-H3K27me3-C_4,27664,27664
PZ-TChIC-K562-SC-H3K27me3-CT_307,19017,19017
PZ-TChIC-K562-SC-H3K27me3-C_27,15587,15587
PZ-TChIC-K562-SC-H3K27me3-C_3,31803,31803
PZ-TChIC-K562-SC-H3K27me3-CT_182,33586,33586
PZ-TChIC-K562-SC-H3K27me3-CT_164,4312,4312
PZ-TChIC-K562-SC-H3K27me3-CT_22,15594,15594
PZ-TChIC-K562-SC-H3K27me3-C_170,16593,16593
PZ-TChIC-K562-SC-H3K27me3-CT_229,51206,51206
PZ-TChIC-K562-SC-H3K27me3-CT_43,60450,60450
PZ-TChIC-K562-SC-H3K27me3-CT_90,53757,53757
PZ-TChIC-K562-SC-H3K27me3-CT_308,12947,12947
PZ-TChIC-K562-SC-H3K27me3-CT_346,16237,16237
PZ-TChIC-K562-SC-H3K27me3-C_96,25757,25757
PZ-TChIC-K562-SC-H3K27me3-C_381,19833,19833
PZ-TChIC-K562-SC-H3K27me3-CT_58,54762,54762
PZ-TChIC-K562-SC-H3K27me3-CT_374,20537,20537
PZ-TChIC-K562-SC-H3K27me3-CT_330,55979,55979
PZ-TChIC-K562-SC-H3K27me3-C_160,31494,31494
PZ-TChIC-K562-SC-H3K27me3-CT_126,30461,30461
PZ-TChIC-K562-SC-H3K27me3-CT_373,45534,45534
PZ-TChIC-K562-SC-H3K27me3-C_372,23011,23011
PZ-TChIC-K562-SC-H3K27me3-C_350,17335,17335
PZ-TChIC-K562-SC-H3K27me3-C_384,38477,38477
PZ-TChIC-K562-SC-H3K27me3-CT_378,29467,29467
PZ-TChIC-K562-SC-H3K27me3-CT_10,20093,20093
PZ-TChIC-K562-SC-H3K27me3-C_355,21677,21677
PZ-TChIC-K562-SC-H3K27me3-CT_383,12037,12037
PZ-TChIC-K562-SC-H3K27me3-C_371,26244,26244
PZ-TChIC-K562-SC-H3K27me3-CT_253,5907,5907
PZ-TChIC-K562-SC-H3K27me3-C_135,16020,16020
PZ-TChIC-K562-SC-H3K27me3-CT_277,58000,58000
PZ-TChIC-K562-SC-H3K27me3-C_126,21816,21816
PZ-TChIC-K562-SC-H3K27me3-C_269,26221,26221
PZ-TChIC-K562-SC-H3K27me3-C_280,20029,20029
PZ-TChIC-K562-SC-H3K27me3-C_5,41259,41259
PZ-TChIC-K562-SC-H3K27me3-C_309,19487,19487
PZ-MB-TChIC-K562-H3K4me3-CT_2,5062,5062
PZ-TChIC-K562-SC-H3K27me3-C_340,17882,17882
PZ-TChIC-K562-SC-H3K27me3-CT_157,35763,35763
PZ-TChIC-K562-SC-H3K27me3-CT_76,36131,36131
PZ-TChIC-K562-SC-H3K27me3-CT_47,13285,13285
PZ-TChIC-K562-SC-H3K27me3-CT_122,15319,15319
PZ-MB-TChIC-K562-H3K4me3-C_290,18340,18340
PZ-TChIC-K562-SC-H3K27me3-C_275,42161,42161
PZ-TChIC-K562-SC-H3K27me3-C_143,27634,27634
PZ-TChIC-K562-SC-H3K27me3-CT_59,30857,30857
PZ-TChIC-K562-SC-H3K27me3-C_53,43518,43518
PZ-TChIC-K562-SC-H3K27me3-C_360,19150,19150
PZ-TChIC-K562-SC-H3K27me3-C_202,34290,34290
PZ-TChIC-K562-SC-H3K27me3-C_221,30590,30590
PZ-TChIC-K562-SC-H3K27me3-C_22,24356,24356
PZ-TChIC-K562-SC-H3K27me3-CT_231,28365,28365
PZ-TChIC-K562-SC-H3K27me3-C_94,26089,26089
PZ-TChIC-K562-SC-H3K27me3-CT_363,27505,27505
PZ-TChIC-K562-SC-H3K27me3-CT_211,37867,37867
PZ-MB-TChIC-K562-H3K4me3-T_230,4078,4078
PZ-MB-TChIC-K562-H3K4me3-T_238,4360,4360
PZ-TChIC-K562-SC-H3K27me3-CT_105,34810,34810
PZ-MB-TChIC-K562-H3K4me3-C_307,44074,44074
PZ-TChIC-K562-SC-H3K27me3-CT_280,29535,29535
PZ-MB-TChIC-K562-H3K4me3-CT_11,5142,5142
PZ-TChIC-K562-SC-H3K27me3-CT_310,26742,26742
PZ-MB-TChIC-K562-H3K4me3-C_200,19252,19252
PZ-MB-TChIC-K562-H3K4me3-CT_107,5908,5908
PZ-MB-TChIC-K562-H3K4me3-CT_185,23130,23130
PZ-TChIC-K562-SC-H3K27me3-C_185,31066,31066
PZ-MB-TChIC-K562-H3K4me3-T_351,1052,1052
PZ-MB-TChIC-K562-H3K4me3-C_104,46309,46309
PZ-MB-TChIC-K562-H3K4me3-C_256,78267,78267
PZ-TChIC-K562-SC-H3K27me3-CT_349,22832,22832
PZ-MB-TChIC-K562-H3K4me3-C_29,30470,30470
PZ-MB-TChIC-K562-H3K4me3-C_231,105852,105852
PZ-TChIC-K562-SC-H3K27me3-CT_127,32278,32278
PZ-MB-TChIC-K562-H3K4me3-C_167,69751,69751
PZ-TChIC-K562-SC-H3K27me3-C_305,30575,30575
PZ-MB-TChIC-K562-H3K4me3-T_263,5628,5628
PZ-TChIC-K562-SC-H3K27me3-CT_276,2549,2549
PZ-MB-TChIC-K562-H3K4me3-C_196,19611,19611
PZ-TChIC-K562-SC-H3K27me3-C_377,36022,36022
PZ-MB-TChIC-K562-H3K4me3-C_323,47878,47878
PZ-MB-TChIC-K562-H3K4me3-C_226,119803,119803
PZ-TChIC-K562-SC-H3K27me3-C_16,23726,23726
PZ-MB-TChIC-K562-H3K4me3-T_23,2165,2165
PZ-TChIC-K562-SC-H3K27me3-C_289,33906,33906
PZ-TChIC-K562-SC-H3K27me3-C_102,24111,24111
PZ-TChIC-K562-SC-H3K27me3-C_17,30102,30102
PZ-TChIC-K562-SC-H3K27me3-CT_111,31442,31442
PZ-MB-TChIC-K562-H3K4me3-C_327,18432,18432
PZ-MB-TChIC-K562-H3K4me3-C_28,31790,31790
PZ-MB-TChIC-K562-H3K4me3-C_92,59827,59827
