,reads,umis
PZ-MB-TChIC-K562-H3K4me3-C_174,109657,109657
PZ-MB-TChIC-K562-H3K4me3-C_244,36358,36358
PZ-MB-TChIC-K562-H3K4me3-CT_257,4077,4077
PZ-MB-TChIC-K562-H3K4me3-C_255,102500,102500
PZ-MB-TChIC-K562-H3K4me3-CT_77,2264,2264
PZ-MB-TChIC-K562-H3K4me3-C_339,28790,28790
PZ-MB-TChIC-K562-H3K4me3-C_110,103419,103419
PZ-MB-TChIC-K562-H3K4me3-C_376,32200,32200
PZ-MB-TChIC-K562-H3K4me3-C_164,45967,45967
PZ-MB-TChIC-K562-H3K4me3-C_14,19144,19144
PZ-MB-TChIC-K562-H3K4me3-C_292,28321,28321
PZ-MB-TChIC-K562-H3K4me3-C_221,406201,406201
PZ-MB-TChIC-K562-H3K4me3-C_190,50045,50045
PZ-MB-TChIC-K562-H3K4me3-C_233,127756,127756
PZ-MB-TChIC-K562-H3K4me3-C_67,52959,52959
PZ-MB-TChIC-K562-H3K4me3-C_27,29447,29447
PZ-MB-TChIC-K562-H3K4me3-C_322,91860,91860
PZ-MB-TChIC-K562-H3K4me3-C_341,27026,27026
PZ-MB-TChIC-K562-H3K4me3-CT_43,6071,6071
PZ-MB-TChIC-K562-H3K4me3-C_13,36693,36693
PZ-MB-TChIC-K562-H3K4me3-C_199,44236,44236
PZ-MB-TChIC-K562-H3K4me3-C_236,112354,112354
PZ-MB-TChIC-K562-H3K4me3-C_282,155908,155908
PZ-MB-TChIC-K562-H3K4me3-C_124,53637,53637
PZ-MB-TChIC-K562-H3K4me3-C_36,89186,89186
PZ-MB-TChIC-K562-H3K4me3-C_360,27870,27870
PZ-MB-TChIC-K562-H3K4me3-CT_76,6554,6554
PZ-MB-TChIC-K562-H3K4me3-C_159,40842,40842
PZ-TChIC-K562-SC-H3K27me3-CT_215,8622,8622
PZ-TChIC-K562-SC-H3K27me3-CT_178,30037,30037
PZ-MB-TChIC-K562-H3K4me3-C_52,14122,14122
PZ-MB-TChIC-K562-H3K4me3-C_149,87283,87283
PZ-MB-TChIC-K562-H3K4me3-C_34,54367,54367
PZ-MB-TChIC-K562-H3K4me3-T_275,6114,6114
PZ-MB-TChIC-K562-H3K4me3-C_279,152543,152543
PZ-MB-TChIC-K562-H3K4me3-C_202,30393,30393
PZ-TChIC-K562-SC-H3K27me3-CT_214,30410,30410
PZ-MB-TChIC-K562-H3K4me3-C_2,44032,44032
PZ-MB-TChIC-K562-H3K4me3-C_187,96709,96709
PZ-MB-TChIC-K562-H3K4me3-C_107,42827,42827
PZ-TChIC-K562-SC-H3K27me3-C_245,20700,20700
PZ-MB-TChIC-K562-H3K4me3-C_309,19342,19342
PZ-MB-TChIC-K562-H3K4me3-CT_383,1196,1196
PZ-MB-TChIC-K562-H3K4me3-C_375,30358,30358
PZ-MB-TChIC-K562-H3K4me3-C_90,144892,144892
PZ-MB-TChIC-K562-H3K4me3-C_314,368708,368708
PZ-MB-TChIC-K562-H3K4me3-C_313,208317,208317
PZ-MB-TChIC-K562-H3K4me3-C_184,216852,216852
PZ-MB-TChIC-K562-H3K4me3-T_312,4900,4900
PZ-MB-TChIC-K562-H3K4me3-C_32,76882,76882
PZ-MB-TChIC-K562-H3K4me3-C_5,70765,70765
PZ-MB-TChIC-K562-H3K4me3-C_213,81270,81270
PZ-MB-TChIC-K562-H3K4me3-C_368,15099,15099
PZ-MB-TChIC-K562-H3K4me3-CT_38,3978,3978
PZ-MB-TChIC-K562-H3K4me3-C_284,41315,41315
PZ-MB-TChIC-K562-H3K4me3-C_317,45607,45607
PZ-MB-TChIC-K562-H3K4me3-C_295,25498,25498
PZ-MB-TChIC-K562-H3K4me3-C_86,44971,44971
PZ-MB-TChIC-K562-H3K4me3-C_117,90613,90613
PZ-MB-TChIC-K562-H3K4me3-C_68,39634,39634
PZ-MB-TChIC-K562-H3K4me3-CT_281,5905,5905
PZ-MB-TChIC-K562-H3K4me3-C_195,38994,38994
PZ-MB-TChIC-K562-H3K4me3-C_20,58169,58169
PZ-MB-TChIC-K562-H3K4me3-C_129,160948,160948
PZ-MB-TChIC-K562-H3K4me3-C_37,65296,65296
PZ-MB-TChIC-K562-H3K4me3-C_61,20838,20838
PZ-MB-TChIC-K562-H3K4me3-C_345,21145,21145
PZ-MB-TChIC-K562-H3K4me3-C_316,276510,276510
PZ-MB-TChIC-K562-H3K4me3-C_113,83271,83271
PZ-MB-TChIC-K562-H3K4me3-C_76,55030,55030
PZ-MB-TChIC-K562-H3K4me3-C_242,41723,41723
PZ-MB-TChIC-K562-H3K4me3-C_374,24235,24235
PZ-MB-TChIC-K562-H3K4me3-C_59,63215,63215
PZ-MB-TChIC-K562-H3K4me3-C_326,44084,44084
PZ-MB-TChIC-K562-H3K4me3-C_42,51085,51085
