,reads,umis
PZ-MB-TChIC-K562-H3K4me3-CT_194,15911,12145
PZ-MB-TChIC-K562-H3K4me3-CT_267,22128,16730
PZ-MB-TChIC-K562-H3K4me3-CT_231,12033,9530
PZ-MB-TChIC-K562-H3K4me3-CT_350,14885,11310
PZ-MB-TChIC-K562-H3K4me3-CT_303,23400,17611
PZ-MB-TChIC-K562-H3K4me3-CT_12,35632,26555
PZ-MB-TChIC-K562-H3K4me3-CT_183,13437,10293
PZ-MB-TChIC-K562-H3K4me3-CT_115,28623,22053
PZ-MB-TChIC-K562-H3K4me3-CT_165,16121,12297
PZ-MB-TChIC-K562-H3K4me3-CT_296,20757,15822
PZ-MB-TChIC-K562-H3K4me3-CT_128,22639,17316
PZ-MB-TChIC-K562-H3K4me3-CT_59,17644,13440
PZ-MB-TChIC-K562-H3K4me3-CT_179,14973,11428
PZ-MB-TChIC-K562-H3K4me3-CT_18,7999,6438
PZ-MB-TChIC-K562-H3K4me3-CT_202,16135,12100
PZ-MB-TChIC-K562-H3K4me3-CT_124,21069,15866
PZ-MB-TChIC-K562-H3K4me3-CT_292,21323,16353
PZ-MB-TChIC-K562-H3K4me3-CT_108,55516,40829
PZ-MB-TChIC-K562-H3K4me3-CT_129,17948,13796
PZ-MB-TChIC-K562-H3K4me3-CT_56,16746,12756
PZ-MB-TChIC-K562-H3K4me3-CT_241,13214,10422
PZ-MB-TChIC-K562-H3K4me3-CT_373,41162,30645
PZ-MB-TChIC-K562-H3K4me3-CT_351,10241,8020
PZ-MB-TChIC-K562-H3K4me3-CT_99,10891,8626
PZ-MB-TChIC-K562-H3K4me3-CT_347,13727,10525
PZ-MB-TChIC-K562-H3K4me3-CT_3,16629,12609
PZ-MB-TChIC-K562-H3K4me3-CT_320,23688,17397
PZ-MB-TChIC-K562-H3K4me3-CT_132,29987,22267
PZ-MB-TChIC-K562-H3K4me3-CT_66,22208,16984
PZ-MB-TChIC-K562-H3K4me3-CT_323,8954,7235
PZ-MB-TChIC-K562-H3K4me3-CT_189,14427,11196
PZ-MB-TChIC-K562-H3K4me3-CT_314,20455,15525
PZ-MB-TChIC-K562-H3K4me3-CT_345,33623,25689
PZ-MB-TChIC-K562-H3K4me3-CT_247,43677,32805
PZ-MB-TChIC-K562-H3K4me3-CT_167,16289,12620
PZ-MB-TChIC-K562-H3K4me3-CT_190,20697,15590
PZ-MB-TChIC-K562-H3K4me3-CT_161,16666,12896
PZ-MB-TChIC-K562-H3K4me3-CT_289,21458,16294
PZ-MB-TChIC-K562-H3K4me3-CT_191,16306,12483
PZ-MB-TChIC-K562-H3K4me3-CT_54,5721,4517
PZ-MB-TChIC-K562-H3K4me3-CT_271,12104,9315
PZ-MB-TChIC-K562-H3K4me3-CT_317,14845,12026
PZ-MB-TChIC-K562-H3K4me3-CT_57,14830,11402
PZ-MB-TChIC-K562-H3K4me3-CT_184,15804,12136
PZ-MB-TChIC-K562-H3K4me3-CT_359,7938,6483
PZ-MB-TChIC-K562-H3K4me3-CT_37,14879,11499
PZ-MB-TChIC-K562-H3K4me3-CT_140,13237,10115
PZ-MB-TChIC-K562-H3K4me3-CT_197,19009,14219
PZ-MB-TChIC-K562-H3K4me3-CT_245,6536,5389
PZ-MB-TChIC-K562-H3K4me3-CT_337,9624,8078
PZ-MB-TChIC-K562-H3K4me3-CT_224,17428,13200
PZ-MB-TChIC-K562-H3K4me3-CT_376,17312,12806
PZ-MB-TChIC-K562-H3K4me3-CT_297,17139,13026
PZ-MB-TChIC-K562-H3K4me3-CT_279,34141,25630
PZ-MB-TChIC-K562-H3K4me3-CT_135,18996,14475
PZ-MB-TChIC-K562-H3K4me3-CT_203,26945,20036
PZ-MB-TChIC-K562-H3K4me3-CT_369,14190,10937
PZ-MB-TChIC-K562-H3K4me3-CT_47,17050,12960
PZ-MB-TChIC-K562-H3K4me3-CT_94,19513,14407
PZ-MB-TChIC-K562-H3K4me3-CT_199,13674,10426
PZ-MB-TChIC-K562-H3K4me3-CT_45,7294,5795
PZ-MB-TChIC-K562-H3K4me3-CT_44,13752,10746
PZ-MB-TChIC-K562-H3K4me3-CT_276,17806,13338
PZ-MB-TChIC-K562-H3K4me3-CT_269,18445,13891
PZ-MB-TChIC-K562-H3K4me3-CT_278,12174,9376
PZ-MB-TChIC-K562-H3K4me3-CT_51,13817,10991
PZ-MB-TChIC-K562-H3K4me3-CT_103,7478,6114
PZ-MB-TChIC-K562-H3K4me3-CT_63,10254,7966
PZ-MB-TChIC-K562-H3K4me3-CT_342,16424,12703
PZ-MB-TChIC-K562-H3K4me3-CT_357,11427,8639
PZ-MB-TChIC-K562-H3K4me3-CT_188,23735,17802
PZ-MB-TChIC-K562-H3K4me3-CT_270,6059,4774
PZ-MB-TChIC-K562-H3K4me3-CT_249,17309,13388
PZ-MB-TChIC-K562-H3K4me3-CT_339,19135,14553
PZ-MB-TChIC-K562-H3K4me3-CT_223,19832,14695
PZ-MB-TChIC-K562-H3K4me3-CT_90,17934,13321
PZ-MB-TChIC-K562-H3K4me3-CT_159,24840,18773
PZ-MB-TChIC-K562-H3K4me3-CT_217,41720,30811
PZ-MB-TChIC-K562-H3K4me3-CT_329,16430,12636
PZ-MB-TChIC-K562-H3K4me3-CT_120,13276,10613
PZ-MB-TChIC-K562-H3K4me3-CT_274,11085,8593
PZ-MB-TChIC-K562-H3K4me3-CT_6,20921,15743
PZ-MB-TChIC-K562-H3K4me3-CT_196,7733,6248
PZ-MB-TChIC-K562-H3K4me3-CT_355,28496,21110
PZ-MB-TChIC-K562-H3K4me3-CT_341,24215,18842
PZ-MB-TChIC-K562-H3K4me3-CT_113,15613,11868
PZ-MB-TChIC-K562-H3K4me3-CT_26,7880,6222
PZ-MB-TChIC-K562-H3K4me3-CT_14,18584,14431
PZ-MB-TChIC-K562-H3K4me3-CT_268,17334,13230
PZ-MB-TChIC-K562-H3K4me3-CT_372,24309,17930
PZ-MB-TChIC-K562-H3K4me3-CT_232,3942,3233
PZ-MB-TChIC-K562-H3K4me3-CT_379,12581,10127
PZ-MB-TChIC-K562-H3K4me3-CT_253,13900,10773
PZ-MB-TChIC-K562-H3K4me3-CT_328,1018,854
PZ-MB-TChIC-K562-H3K4me3-CT_322,9467,7357
PZ-MB-TChIC-K562-H3K4me3-CT_259,20361,15409
PZ-MB-TChIC-K562-H3K4me3-CT_170,13450,10744
PZ-MB-TChIC-K562-H3K4me3-CT_81,10739,8361
PZ-MB-TChIC-K562-H3K4me3-CT_27,19944,14825
PZ-MB-TChIC-K562-H3K4me3-CT_306,11575,9192
PZ-MB-TChIC-K562-H3K4me3-CT_72,7183,5718
PZ-MB-TChIC-K562-H3K4me3-CT_101,20465,14969
PZ-MB-TChIC-K562-H3K4me3-CT_88,17807,13430
PZ-MB-TChIC-K562-H3K4me3-CT_246,26223,19753
PZ-MB-TChIC-K562-H3K4me3-CT_263,9748,7737
PZ-MB-TChIC-K562-H3K4me3-CT_29,3379,2789
PZ-MB-TChIC-K562-H3K4me3-CT_198,15657,11969
PZ-MB-TChIC-K562-H3K4me3-CT_173,20863,15643
PZ-MB-TChIC-K562-H3K4me3-CT_164,18757,14366
PZ-MB-TChIC-K562-H3K4me3-CT_299,14606,11168
