	status
PZ-MB-TChIC-K562-H3K4me3-CT_343	good
PZ-MB-TChIC-K562-H3K4me3-CT_264	good
PZ-MB-TChIC-K562-H3K4me3-CT_250	good
PZ-MB-TChIC-K562-H3K4me3-CT_131	good
PZ-MB-TChIC-K562-H3K4me3-CT_63	good
PZ-MB-TChIC-K562-H3K4me3-CT_255	good
PZ-MB-TChIC-K562-H3K4me3-CT_77	good
PZ-MB-TChIC-K562-H3K4me3-CT_76	good
PZ-MB-TChIC-K562-H3K4me3-CT_383	good
PZ-MB-TChIC-K562-H3K4me3-CT_45	good
PZ-MB-TChIC-K562-H3K4me3-CT_38	good
PZ-MB-TChIC-K562-H3K4me3-CT_281	good
PZ-MB-TChIC-K562-H3K4me3-CT_285	good
PZ-MB-TChIC-K562-H3K4me3-CT_249	good
PZ-MB-TChIC-K562-H3K4me3-CT_43	good
PZ-MB-TChIC-K562-H3K4me3-CT_143	good
PZ-MB-TChIC-K562-H3K4me3-CT_224	good
PZ-MB-TChIC-K562-H3K4me3-CT_322	good
PZ-MB-TChIC-K562-H3K4me3-CT_278	good
PZ-MB-TChIC-K562-H3K4me3-CT_122	good
PZ-MB-TChIC-K562-H3K4me3-CT_361	good
PZ-MB-TChIC-K562-H3K4me3-CT_214	good
PZ-MB-TChIC-K562-H3K4me3-CT_211	good
PZ-MB-TChIC-K562-H3K4me3-CT_367	good
PZ-MB-TChIC-K562-H3K4me3-CT_68	good
PZ-MB-TChIC-K562-H3K4me3-CT_266	good
PZ-MB-TChIC-K562-H3K4me3-CT_174	good
PZ-MB-TChIC-K562-H3K4me3-CT_226	good
PZ-MB-TChIC-K562-H3K4me3-CT_102	good
PZ-MB-TChIC-K562-H3K4me3-CT_2	good
PZ-MB-TChIC-K562-H3K4me3-CT_11	good
PZ-MB-TChIC-K562-H3K4me3-CT_107	good
PZ-MB-TChIC-K562-H3K4me3-CT_133	good
PZ-MB-TChIC-K562-H3K4me3-CT_157	good
PZ-MB-TChIC-K562-H3K4me3-CT_297	good
PZ-MB-TChIC-K562-H3K4me3-CT_125	good
PZ-MB-TChIC-K562-H3K4me3-CT_85	good
PZ-MB-TChIC-K562-H3K4me3-CT_258	good
PZ-MB-TChIC-K562-H3K4me3-CT_140	good
PZ-MB-TChIC-K562-H3K4me3-CT_176	good
PZ-MB-TChIC-K562-H3K4me3-CT_150	good
PZ-MB-TChIC-K562-H3K4me3-CT_87	good
PZ-MB-TChIC-K562-H3K4me3-CT_353	good
PZ-MB-TChIC-K562-H3K4me3-CT_303	good
PZ-MB-TChIC-K562-H3K4me3-CT_51	good
PZ-MB-TChIC-K562-H3K4me3-CT_24	good
PZ-MB-TChIC-K562-H3K4me3-CT_117	good
PZ-MB-TChIC-K562-H3K4me3-CT_181	good
PZ-MB-TChIC-K562-H3K4me3-CT_179	good
PZ-MB-TChIC-K562-H3K4me3-CT_173	good
PZ-MB-TChIC-K562-H3K4me3-CT_262	good
PZ-MB-TChIC-K562-H3K4me3-CT_319	good
PZ-MB-TChIC-K562-H3K4me3-CT_254	good
PZ-MB-TChIC-K562-H3K4me3-CT_183	good
PZ-MB-TChIC-K562-H3K4me3-CT_185	bad
PZ-MB-TChIC-K562-H3K4me3-CT_288	good
PZ-MB-TChIC-K562-H3K4me3-CT_208	good
PZ-MB-TChIC-K562-H3K4me3-CT_364	good
PZ-MB-TChIC-K562-H3K4me3-CT_162	bad
PZ-MB-TChIC-K562-H3K4me3-CT_29	good
PZ-MB-TChIC-K562-H3K4me3-CT_239	good
PZ-MB-TChIC-K562-H3K4me3-CT_370	good
PZ-MB-TChIC-K562-H3K4me3-CT_127	good
PZ-MB-TChIC-K562-H3K4me3-CT_52	good
PZ-MB-TChIC-K562-H3K4me3-CT_82	good
PZ-MB-TChIC-K562-H3K4me3-CT_376	good
PZ-MB-TChIC-K562-H3K4me3-CT_371	good
PZ-MB-TChIC-K562-H3K4me3-CT_128	good
PZ-MB-TChIC-K562-H3K4me3-CT_377	good
PZ-MB-TChIC-K562-H3K4me3-CT_335	good
PZ-MB-TChIC-K562-H3K4me3-CT_78	good
PZ-MB-TChIC-K562-H3K4me3-CT_252	good
PZ-MB-TChIC-K562-H3K4me3-CT_104	good
PZ-MB-TChIC-K562-H3K4me3-CT_129	good
PZ-MB-TChIC-K562-H3K4me3-CT_191	good
PZ-MB-TChIC-K562-H3K4me3-CT_268	good
PZ-MB-TChIC-K562-H3K4me3-CT_180	good
PZ-MB-TChIC-K562-H3K4me3-CT_382	good
PZ-MB-TChIC-K562-H3K4me3-CT_366	good
PZ-MB-TChIC-K562-H3K4me3-CT_240	good
PZ-MB-TChIC-K562-H3K4me3-CT_14	good
PZ-MB-TChIC-K562-H3K4me3-CT_167	good
PZ-MB-TChIC-K562-H3K4me3-CT_225	good
PZ-MB-TChIC-K562-H3K4me3-CT_256	good
PZ-MB-TChIC-K562-H3K4me3-CT_139	good
PZ-MB-TChIC-K562-H3K4me3-CT_48	good
PZ-MB-TChIC-K562-H3K4me3-CT_193	good
PZ-MB-TChIC-K562-H3K4me3-CT_204	good
PZ-MB-TChIC-K562-H3K4me3-CT_96	good
PZ-MB-TChIC-K562-H3K4me3-CT_374	good
PZ-MB-TChIC-K562-H3K4me3-CT_307	good
PZ-MB-TChIC-K562-H3K4me3-CT_178	good
PZ-MB-TChIC-K562-H3K4me3-CT_33	good
PZ-MB-TChIC-K562-H3K4me3-CT_267	good
PZ-MB-TChIC-K562-H3K4me3-CT_359	good
PZ-MB-TChIC-K562-H3K4me3-CT_373	good
PZ-MB-TChIC-K562-H3K4me3-CT_321	good
PZ-MB-TChIC-K562-H3K4me3-CT_163	good
PZ-MB-TChIC-K562-H3K4me3-CT_135	good
PZ-MB-TChIC-K562-H3K4me3-CT_277	good
PZ-MB-TChIC-K562-H3K4me3-CT_177	good
PZ-MB-TChIC-K562-H3K4me3-CT_259	good
PZ-MB-TChIC-K562-H3K4me3-CT_101	good
PZ-MB-TChIC-K562-H3K4me3-CT_151	good
PZ-MB-TChIC-K562-H3K4me3-CT_59	good
PZ-MB-TChIC-K562-H3K4me3-CT_71	good
PZ-MB-TChIC-K562-H3K4me3-CT_111	good
PZ-MB-TChIC-K562-H3K4me3-CT_34	good
PZ-MB-TChIC-K562-H3K4me3-CT_15	good
PZ-MB-TChIC-K562-H3K4me3-CT_21	good
PZ-MB-TChIC-K562-H3K4me3-CT_155	good
PZ-MB-TChIC-K562-H3K4me3-CT_123	good
PZ-MB-TChIC-K562-H3K4me3-CT_57	good
PZ-MB-TChIC-K562-H3K4me3-CT_23	good
PZ-MB-TChIC-K562-H3K4me3-CT_88	good
PZ-MB-TChIC-K562-H3K4me3-CT_100	good
PZ-MB-TChIC-K562-H3K4me3-CT_356	good
PZ-MB-TChIC-K562-H3K4me3-CT_273	good
PZ-MB-TChIC-K562-H3K4me3-CT_275	good
PZ-MB-TChIC-K562-H3K4me3-CT_196	good
PZ-MB-TChIC-K562-H3K4me3-CT_313	good
PZ-MB-TChIC-K562-H3K4me3-CT_99	good
PZ-MB-TChIC-K562-H3K4me3-CT_358	good
PZ-MB-TChIC-K562-H3K4me3-CT_326	good
PZ-MB-TChIC-K562-H3K4me3-CT_106	good
PZ-MB-TChIC-K562-H3K4me3-CT_341	good
PZ-MB-TChIC-K562-H3K4me3-CT_221	good
PZ-MB-TChIC-K562-H3K4me3-CT_284	good
PZ-MB-TChIC-K562-H3K4me3-CT_299	good
PZ-MB-TChIC-K562-H3K4me3-CT_112	good
PZ-MB-TChIC-K562-H3K4me3-CT_316	good
PZ-MB-TChIC-K562-H3K4me3-CT_309	good
PZ-MB-TChIC-K562-H3K4me3-CT_205	good
PZ-MB-TChIC-K562-H3K4me3-CT_325	good
PZ-MB-TChIC-K562-H3K4me3-CT_230	good
PZ-MB-TChIC-K562-H3K4me3-CT_5	good
PZ-MB-TChIC-K562-H3K4me3-CT_362	good
PZ-MB-TChIC-K562-H3K4me3-CT_229	good
PZ-MB-TChIC-K562-H3K4me3-CT_32	good
PZ-MB-TChIC-K562-H3K4me3-CT_369	good
PZ-MB-TChIC-K562-H3K4me3-CT_233	good
PZ-MB-TChIC-K562-H3K4me3-CT_232	good
PZ-MB-TChIC-K562-H3K4me3-CT_300	good
PZ-MB-TChIC-K562-H3K4me3-CT_37	good
PZ-MB-TChIC-K562-H3K4me3-CT_318	good
PZ-MB-TChIC-K562-H3K4me3-CT_184	good
PZ-MB-TChIC-K562-H3K4me3-CT_202	good
PZ-MB-TChIC-K562-H3K4me3-CT_188	good
PZ-MB-TChIC-K562-H3K4me3-CT_247	good
PZ-MB-TChIC-K562-H3K4me3-CT_170	good
PZ-MB-TChIC-K562-H3K4me3-CT_6	good
PZ-MB-TChIC-K562-H3K4me3-CT_263	good
PZ-MB-TChIC-K562-H3K4me3-CT_305	good
PZ-MB-TChIC-K562-H3K4me3-CT_98	good
PZ-MB-TChIC-K562-H3K4me3-CT_330	good
PZ-MB-TChIC-K562-H3K4me3-CT_236	good
PZ-MB-TChIC-K562-H3K4me3-CT_218	good
PZ-MB-TChIC-K562-H3K4me3-CT_384	good
PZ-MB-TChIC-K562-H3K4me3-CT_90	good
PZ-MB-TChIC-K562-H3K4me3-CT_293	good
PZ-MB-TChIC-K562-H3K4me3-CT_291	good
PZ-MB-TChIC-K562-H3K4me3-CT_105	good
PZ-MB-TChIC-K562-H3K4me3-CT_272	good
PZ-MB-TChIC-K562-H3K4me3-CT_161	good
PZ-MB-TChIC-K562-H3K4me3-CT_17	good
PZ-MB-TChIC-K562-H3K4me3-CT_138	good
PZ-MB-TChIC-K562-H3K4me3-CT_317	good
PZ-MB-TChIC-K562-H3K4me3-CT_40	good
PZ-MB-TChIC-K562-H3K4me3-CT_137	good
PZ-MB-TChIC-K562-H3K4me3-CT_219	good
PZ-MB-TChIC-K562-H3K4me3-CT_234	good
PZ-MB-TChIC-K562-H3K4me3-CT_217	good
PZ-MB-TChIC-K562-H3K4me3-CT_282	good
PZ-MB-TChIC-K562-H3K4me3-CT_160	good
PZ-MB-TChIC-K562-H3K4me3-CT_103	good
PZ-MB-TChIC-K562-H3K4me3-CT_261	good
PZ-MB-TChIC-K562-H3K4me3-CT_10	good
PZ-MB-TChIC-K562-H3K4me3-CT_209	good
PZ-MB-TChIC-K562-H3K4me3-CT_304	good
PZ-MB-TChIC-K562-H3K4me3-CT_95	good
PZ-MB-TChIC-K562-H3K4me3-CT_75	good
PZ-MB-TChIC-K562-H3K4me3-CT_286	good
PZ-MB-TChIC-K562-H3K4me3-CT_310	good
PZ-MB-TChIC-K562-H3K4me3-CT_46	good
PZ-MB-TChIC-K562-H3K4me3-CT_54	good
PZ-MB-TChIC-K562-H3K4me3-CT_294	good
PZ-MB-TChIC-K562-H3K4me3-CT_114	good
