	status
PZ-MB-TChIC-K562-H3K4me3-CT_8	good
PZ-MB-TChIC-K562-H3K4me3-CT_141	good
PZ-MB-TChIC-K562-H3K4me3-CT_260	good
PZ-MB-TChIC-K562-H3K4me3-CT_3	good
PZ-MB-TChIC-K562-H3K4me3-CT_4	good
PZ-MB-TChIC-K562-H3K4me3-CT_331	good
PZ-MB-TChIC-K562-H3K4me3-CT_206	good
PZ-MB-TChIC-K562-H3K4me3-CT_298	good
PZ-MB-TChIC-K562-H3K4me3-CT_337	good
PZ-MB-TChIC-K562-H3K4me3-CT_203	good
PZ-MB-TChIC-K562-H3K4me3-CT_357	good
PZ-MB-TChIC-K562-H3K4me3-CT_113	good
PZ-MB-TChIC-K562-H3K4me3-CT_55	good
PZ-MB-TChIC-K562-H3K4me3-CT_368	good
PZ-MB-TChIC-K562-H3K4me3-CT_238	good
PZ-MB-TChIC-K562-H3K4me3-CT_324	good
PZ-MB-TChIC-K562-H3K4me3-CT_16	good
PZ-MB-TChIC-K562-H3K4me3-CT_379	good
PZ-MB-TChIC-K562-H3K4me3-CT_120	good
PZ-MB-TChIC-K562-H3K4me3-CT_351	good
PZ-MB-TChIC-K562-H3K4me3-CT_306	good
PZ-MB-TChIC-K562-H3K4me3-CT_20	good
PZ-MB-TChIC-K562-H3K4me3-CT_195	good
PZ-MB-TChIC-K562-H3K4me3-CT_289	good
PZ-MB-TChIC-K562-H3K4me3-CT_199	good
PZ-MB-TChIC-K562-H3K4me3-CT_91	good
PZ-MB-TChIC-K562-H3K4me3-CT_192	good
PZ-MB-TChIC-K562-H3K4me3-CT_36	good
PZ-MB-TChIC-K562-H3K4me3-CT_67	good
PZ-MB-TChIC-K562-H3K4me3-CT_295	good
PZ-MB-TChIC-K562-H3K4me3-CT_348	good
PZ-MB-TChIC-K562-H3K4me3-CT_235	good
PZ-MB-TChIC-K562-H3K4me3-CT_13	good
PZ-MB-TChIC-K562-H3K4me3-CT_190	good
PZ-MB-TChIC-K562-H3K4me3-CT_194	good
PZ-MB-TChIC-K562-H3K4me3-CT_189	good
PZ-MB-TChIC-K562-H3K4me3-CT_92	good
PZ-MB-TChIC-K562-H3K4me3-CT_110	good
PZ-MB-TChIC-K562-H3K4me3-CT_84	good
PZ-MB-TChIC-K562-H3K4me3-CT_342	good
PZ-MB-TChIC-K562-H3K4me3-CT_58	good
PZ-MB-TChIC-K562-H3K4me3-CT_280	good
PZ-MB-TChIC-K562-H3K4me3-CT_94	good
PZ-MB-TChIC-K562-H3K4me3-CT_186	good
PZ-MB-TChIC-K562-H3K4me3-CT_39	good
PZ-MB-TChIC-K562-H3K4me3-CT_222	good
PZ-MB-TChIC-K562-H3K4me3-CT_323	good
PZ-MB-TChIC-K562-H3K4me3-CT_269	good
PZ-MB-TChIC-K562-H3K4me3-CT_350	good
PZ-MB-TChIC-K562-H3K4me3-CT_164	good
PZ-MB-TChIC-K562-H3K4me3-CT_154	good
PZ-MB-TChIC-K562-H3K4me3-CT_345	good
PZ-MB-TChIC-K562-H3K4me3-CT_265	good
PZ-MB-TChIC-K562-H3K4me3-CT_354	good
PZ-MB-TChIC-K562-H3K4me3-CT_271	good
PZ-MB-TChIC-K562-H3K4me3-CT_136	good
PZ-MB-TChIC-K562-H3K4me3-CT_31	good
PZ-MB-TChIC-K562-H3K4me3-CT_166	good
PZ-MB-TChIC-K562-H3K4me3-CT_378	good
PZ-MB-TChIC-K562-H3K4me3-CT_207	good
PZ-MB-TChIC-K562-H3K4me3-CT_223	good
PZ-MB-TChIC-K562-H3K4me3-CT_86	good
PZ-MB-TChIC-K562-H3K4me3-CT_119	good
PZ-MB-TChIC-K562-H3K4me3-CT_212	good
PZ-MB-TChIC-K562-H3K4me3-CT_334	good
PZ-MB-TChIC-K562-H3K4me3-CT_308	good
PZ-MB-TChIC-K562-H3K4me3-CT_126	good
PZ-MB-TChIC-K562-H3K4me3-CT_355	good
PZ-MB-TChIC-K562-H3K4me3-CT_292	good
PZ-MB-TChIC-K562-H3K4me3-CT_279	good
PZ-MB-TChIC-K562-H3K4me3-CT_153	good
PZ-MB-TChIC-K562-H3K4me3-CT_329	good
PZ-MB-TChIC-K562-H3K4me3-CT_148	good
PZ-MB-TChIC-K562-H3K4me3-CT_243	good
PZ-MB-TChIC-K562-H3K4me3-CT_142	good
PZ-MB-TChIC-K562-H3K4me3-CT_146	good
PZ-MB-TChIC-K562-H3K4me3-CT_290	good
PZ-MB-TChIC-K562-H3K4me3-CT_340	good
PZ-MB-TChIC-K562-H3K4me3-CT_296	good
PZ-MB-TChIC-K562-H3K4me3-CT_9	good
PZ-MB-TChIC-K562-H3K4me3-CT_339	good
PZ-MB-TChIC-K562-H3K4me3-CT_237	good
PZ-MB-TChIC-K562-H3K4me3-CT_70	good
PZ-MB-TChIC-K562-H3K4me3-CT_109	good
PZ-MB-TChIC-K562-H3K4me3-CT_228	good
PZ-MB-TChIC-K562-H3K4me3-CT_64	good
PZ-MB-TChIC-K562-H3K4me3-CT_66	good
PZ-MB-TChIC-K562-H3K4me3-CT_175	good
PZ-MB-TChIC-K562-H3K4me3-CT_213	good
PZ-MB-TChIC-K562-H3K4me3-CT_18	good
PZ-MB-TChIC-K562-H3K4me3-CT_231	good
PZ-MB-TChIC-K562-H3K4me3-CT_41	good
PZ-MB-TChIC-K562-H3K4me3-CT_314	good
PZ-MB-TChIC-K562-H3K4me3-CT_62	good
PZ-MB-TChIC-K562-H3K4me3-CT_375	good
PZ-MB-TChIC-K562-H3K4me3-CT_244	good
PZ-MB-TChIC-K562-H3K4me3-CT_132	good
PZ-MB-TChIC-K562-H3K4me3-CT_381	good
PZ-MB-TChIC-K562-H3K4me3-CT_89	good
PZ-MB-TChIC-K562-H3K4me3-CT_147	good
PZ-MB-TChIC-K562-H3K4me3-CT_210	good
PZ-MB-TChIC-K562-H3K4me3-CT_274	good
PZ-MB-TChIC-K562-H3K4me3-CT_380	good
PZ-MB-TChIC-K562-H3K4me3-CT_156	good
PZ-MB-TChIC-K562-H3K4me3-CT_27	good
PZ-MB-TChIC-K562-H3K4me3-CT_130	good
PZ-MB-TChIC-K562-H3K4me3-CT_80	good
PZ-MB-TChIC-K562-H3K4me3-CT_53	good
PZ-MB-TChIC-K562-H3K4me3-CT_187	good
PZ-MB-TChIC-K562-H3K4me3-CT_22	good
PZ-MB-TChIC-K562-H3K4me3-CT_311	good
PZ-MB-TChIC-K562-H3K4me3-CT_216	good
PZ-MB-TChIC-K562-H3K4me3-CT_349	good
PZ-MB-TChIC-K562-H3K4me3-CT_7	good
PZ-MB-TChIC-K562-H3K4me3-CT_172	good
PZ-MB-TChIC-K562-H3K4me3-CT_47	good
PZ-MB-TChIC-K562-H3K4me3-CT_124	good
PZ-MB-TChIC-K562-H3K4me3-CT_93	good
PZ-MB-TChIC-K562-H3K4me3-CT_134	good
PZ-MB-TChIC-K562-H3K4me3-CT_360	good
PZ-MB-TChIC-K562-H3K4me3-CT_115	good
PZ-MB-TChIC-K562-H3K4me3-CT_108	good
PZ-MB-TChIC-K562-H3K4me3-CT_26	good
PZ-MB-TChIC-K562-H3K4me3-CT_333	good
PZ-MB-TChIC-K562-H3K4me3-CT_315	good
PZ-MB-TChIC-K562-H3K4me3-CT_365	good
PZ-MB-TChIC-K562-H3K4me3-CT_251	good
PZ-MB-TChIC-K562-H3K4me3-CT_159	good
PZ-MB-TChIC-K562-H3K4me3-CT_149	good
PZ-MB-TChIC-K562-H3K4me3-CT_201	good
PZ-MB-TChIC-K562-H3K4me3-CT_152	good
PZ-MB-TChIC-K562-H3K4me3-CT_363	good
PZ-MB-TChIC-K562-H3K4me3-CT_83	good
PZ-MB-TChIC-K562-H3K4me3-CT_50	good
PZ-MB-TChIC-K562-H3K4me3-CT_220	good
PZ-MB-TChIC-K562-H3K4me3-CT_200	good
PZ-MB-TChIC-K562-H3K4me3-CT_312	good
PZ-MB-TChIC-K562-H3K4me3-CT_165	good
PZ-MB-TChIC-K562-H3K4me3-CT_270	good
PZ-MB-TChIC-K562-H3K4me3-CT_182	good
PZ-MB-TChIC-K562-H3K4me3-CT_245	good
PZ-MB-TChIC-K562-H3K4me3-CT_320	good
PZ-MB-TChIC-K562-H3K4me3-CT_215	good
PZ-MB-TChIC-K562-H3K4me3-CT_227	good
PZ-MB-TChIC-K562-H3K4me3-CT_301	good
PZ-MB-TChIC-K562-H3K4me3-CT_65	good
PZ-MB-TChIC-K562-H3K4me3-CT_168	good
PZ-MB-TChIC-K562-H3K4me3-CT_344	good
PZ-MB-TChIC-K562-H3K4me3-CT_81	good
PZ-MB-TChIC-K562-H3K4me3-CT_257	good
PZ-MB-TChIC-K562-H3K4me3-CT_347	good
PZ-MB-TChIC-K562-H3K4me3-CT_248	good
PZ-MB-TChIC-K562-H3K4me3-CT_19	good
PZ-MB-TChIC-K562-H3K4me3-CT_118	good
PZ-MB-TChIC-K562-H3K4me3-CT_61	good
PZ-MB-TChIC-K562-H3K4me3-CT_28	good
PZ-MB-TChIC-K562-H3K4me3-CT_242	good
PZ-MB-TChIC-K562-H3K4me3-CT_158	good
PZ-MB-TChIC-K562-H3K4me3-CT_144	good
PZ-MB-TChIC-K562-H3K4me3-CT_241	good
PZ-MB-TChIC-K562-H3K4me3-CT_372	good
PZ-MB-TChIC-K562-H3K4me3-CT_171	good
PZ-MB-TChIC-K562-H3K4me3-CT_332	good
PZ-MB-TChIC-K562-H3K4me3-CT_197	good
