Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,p_log10
0610009B22Rik,229.86933597913026,0.08653676631902499,0.07701834922417852,1.1235863555987298,0.26118854713340744,0.29546102859547974,0.5294997945867763
0610009E02Rik,111.84100214712508,-0.18457123923978874,0.10235706350356441,-1.8032095970920599,0.07135530383108586,0.08729897601010957,1.058990850404019
0610009L18Rik,56.08197095370553,0.5901053208061984,0.15425797895977825,3.825444393771453,0.00013053639760009675,0.00020094670204446008,3.6969191170939713
0610012G03Rik,271.8667517558942,0.20809017911267425,0.07246176074437305,2.8717240234716943,0.004082393120747359,0.005637363845753102,2.2489239341165868
0610030E20Rik,431.02168855961963,0.15812514858783253,0.05702778187270113,2.772773960256836,0.005558071306077123,0.007581963666135329,2.1202183011064637
0610038B21Rik,104.88015575364739,-0.37488941940313664,0.11386393848985925,-3.2924332705786776,0.0009932446504355935,0.0014375811132503135,2.842367641564811
0610040B10Rik,62.094617130999914,0.01461907573877297,0.15022939581566908,0.09731168563515041,0.9224788762504522,0.9319000457441486,0.030630666948272232
0610040F04Rik,146.6528049643991,-0.8586221421579011,0.1120366301379169,-7.663762656025432,1.8056344150409543e-14,4.231560591839509e-14,13.373499436069078
0610040J01Rik,97.11840275488468,-1.1225672543086642,0.1447686712187514,-7.754213980540161,8.889233092281527e-15,2.1027426935298612e-14,13.677213867407318
0610043K17Rik,61.441741054152736,-0.2453003208007153,0.15066581676313492,-1.6281086584248725,0.10350184794499458,0.12381461835203803,0.9072280766823996
1110002J07Rik,57.94241754918907,-1.5012104350252076,0.15824999336812778,-9.486322261846981,2.3932930743892896e-21,6.889050937814898e-21,20.161840604051722
1110002L01Rik,1016.4064325686765,-0.504841081638036,0.04383421446786594,-11.51705551854079,1.0824711408764447e-30,3.905978007048188e-30,29.408270206374457
1110004F10Rik,1751.7282837607484,-0.012736584980781519,0.03712441141623405,-0.34307843531795273,0.7315394538088198,0.7573127795531769,0.12072471445150348
1110019D14Rik,1631.0229410733707,-1.3492473390107969,0.04079713612620859,-33.07210915091718,7.484443184095288e-240,1.969879858213934e-238,237.70556026038957
1110020A21Rik,37.474816696554726,-0.13820900867466582,0.17229828215063675,-0.8021496613287913,0.4224663909965364,0.4607391289257452,0.33654490310456814
1110032A03Rik,172.89966289566954,0.30258401179286687,0.08510150178366643,3.555566064651305,0.00037716615241112806,0.0005629885844570178,3.2495004111123973
1110032F04Rik,35.329933120776936,-0.09910727437969064,0.17713604698733812,-0.559498058499493,0.5758218558758859,0.6108115132567009,0.2140927854716585
1110038B12Rik,2947.1190564858193,-0.6375163604654069,0.04460155283225198,-14.293591141616272,2.399119253902309e-46,1.1704448400612754e-45,44.9316490486239
1110038F14Rik,385.65145224321583,-0.04326376309300803,0.06558644228775157,-0.6596449141606763,0.5094817244273466,0.5466543631364359,0.26228718121236344
1110046J04Rik,46.35852103708766,0.5937091708130067,0.17162232191325053,3.4593936510957315,0.0005413930264218935,0.0007998300161022734,3.0970023016491366
1110059E24Rik,1494.1145549653202,0.041329658906435356,0.0336470520064819,1.2283292723081192,0.21932338663884188,0.25099763520724305,0.6003303702372217
1110059G10Rik,118.9799065890286,0.16987022315788056,0.09792281479612153,1.7347359092113095,0.08278759280904145,0.1003527449599127,0.9984707437082458
1110065P20Rik,241.06608899124527,-0.2476453469285171,0.07905312730582409,-3.132644531195824,0.0017323911087776854,0.002464531636500972,2.608265602557091
1190007I07Rik,153.4495045045743,-0.9912402966353018,0.08705365920624417,-11.386543721119104,4.8796362544377305e-30,1.737150506579832e-29,28.760162552683898
1500002C15Rik,27.333098739410755,0.5361160335688792,0.22804451759267114,2.350927087519287,0.0187267029813835,0.024383513387261035,1.612903717308017
1500002F19Rik,139.84671238003185,-0.2053277455241345,0.10098030678417332,-2.033344441733421,0.04201773616887046,0.05276032325820409,1.2776925522305966
1500004A13Rik,49.331831340428344,0.41443593953447955,0.1571176227397497,2.6377431907874076,0.00834597591011603,0.011205353251487313,1.9505744476739075
1500009L16Rik,266.9758255160148,-0.11794210656060022,0.07996342858351393,-1.47495059491379,0.14022582643493073,0.16471292719092373,0.7832723146895745
1500011B03Rik,590.5931288390416,-0.1730739041750031,0.04444449637283802,-3.8941582940464174,9.85402892083794e-05,0.0001529923195463767,3.815330370897116
1500015A07Rik,277.52999022992424,-0.22425846489639117,0.07644112499952736,-2.9337410313856287,0.003349035087251296,0.0046614620537342435,2.3314778467688706
1600002D24Rik,41.586068010569186,-0.44499954412069526,0.18301549441053713,-2.431485626689509,0.015037044928512652,0.01973115568129447,1.7048474767695994
1600010M07Rik,317.64605071229073,0.2897984994974114,0.07846606882875488,3.693297036836017,0.0002213651993879066,0.00033616332724880146,3.4734496663938486
1600012H06Rik,246.0671035823052,0.2452932278684001,0.07515520366340755,3.263822275926202,0.0010992009279691226,0.001586166512459286,2.7996512232943664
1600014C10Rik,175.84044810357793,0.30518246989117875,0.08553893803511449,3.5677607987826394,0.0003600449541356372,0.0005385284786114635,3.2687913252782033
1600020E01Rik,1284.9187411389682,0.2537095746714458,0.03301669466535417,7.684281459514907,1.5385807293163856e-14,3.6150659986699815e-14,13.441883769573726
1700001L05Rik,307.6975895905758,-0.5757149231355211,0.06509044029048326,-8.844846041388589,9.165459147066903e-19,2.4542708606502452e-18,17.610077508929983
1700001P01Rik,92.24471365852122,-0.545811310875702,0.12839255554650275,-4.251113380775519,2.1271044550055343e-05,3.437706234252148e-05,4.463731238263933
1700003F12Rik,23.87871698227231,0.5733411590407811,0.2294791178570386,2.4984458908281253,0.012473918390191827,0.01649016239836727,1.7827750673168223
1700003M07Rik,24.204470708249136,-2.8893390174851374,0.2956549894856792,-9.772671256153753,1.475105277842924e-22,4.389164121252111e-22,21.357618179551125
1700006J14Rik,37.99041874526251,1.4967898015892949,0.21408503080071897,6.99156683674246,2.7183306922354343e-12,5.901598655999575e-12,11.229030328453709
1700007L15Rik,43.5612736809694,-1.0722695741907982,0.17165295994981877,-6.246729299071025,4.1913653833037037e-10,8.407302345847724e-10,9.075343334077756
1700008J07Rik,84.26029975043693,0.12508041679635545,0.116459208267432,1.0740277102788307,0.2828102621576415,0.3180969834495731,0.4974404493378317
1700008O03Rik,96.54468829728002,-1.249519587897381,0.14392874475505638,-8.681515217991118,3.905307941334014e-18,1.0287429661714254e-17,16.987693121172995
1700010I14Rik,50.95660667912026,0.35328226407762126,0.1579713862675469,2.236368702109683,0.02532762953461835,0.03247040066149199,1.488512352458029
1700012I11Rik,25.30914331593027,0.26386718149433497,0.2573784946332646,1.0252106799766467,0.3052637900181441,0.3414067389343622,0.466727910716532
1700017B05Rik,650.5986097772076,0.4568929617027867,0.050037015605122505,9.131099370682943,6.780716815576993e-20,1.877408682061481e-19,18.72644117807415
1700018A04Rik,182.20210813753656,1.892500051064743,0.0965511441286235,19.601011133991246,1.5158185205180942e-85,1.2454139680051812e-84,83.90468626773493
1700019A02Rik,380.84434228002584,0.2457222548794786,0.06616935350812854,3.7135356755343394,0.00020438363764949423,0.0003111117023123344,3.5070836528125824
1700019D03Rik,761.9672724842479,-3.6211468747308135,0.0658279007963428,-55.00930199694281,0.0,0.0,inf
1700020G17Rik,28.757038852909616,0.41891917631189934,0.2393211311416859,1.7504479203881314,0.0800410532746183,0.09725316424157969,1.012096259510723
1700022I11Rik,27.177765042844698,0.4936586326870606,0.23141303733437216,2.1332360457019797,0.03290536757925244,0.04175751624641472,1.3792653412451628
1700025G04Rik,5528.6304692013655,1.000040321896663,0.03637305909828381,27.493984467857086,2.0718819419423056e-166,3.5803329135898627e-165,164.44607658905085
1700026F02Rik,36.81366986520356,-0.4517641974210083,0.2006065863796823,-2.2519908522144294,0.024322850108562954,0.031247302721864312,1.5051874651540635
1700026N04Rik,31.538871839191728,-1.2637722863361134,0.20417388506931755,-6.189686236841991,6.028408996678935e-10,1.201856963898298e-09,8.920147215765937
1700027J07Rik,69.91535533826166,1.0766805205586825,0.16611998762675856,6.481342407620376,9.091009232461614e-11,1.8705635327036146e-10,9.728027536632297
1700028E10Rik,206.055634037415,-0.677655445881393,0.08528543570504446,-7.945734699943746,1.9304318051237247e-15,4.667534312733981e-15,14.330912480711236
1700028J19Rik,79.45799904139153,0.021917138020649502,0.12484419052122994,0.17555593038926756,0.8606428269823031,0.8760043370824698,0.05749374364205462
1700029H14Rik,43.12977616017161,1.6185969491250491,0.18122015739435868,8.931660651870926,4.196610806463997e-19,1.1361916051894877e-18,17.944548423854176
1700029I15Rik,23.081179461848127,0.6794628916535528,0.23359480862105858,2.9087242805801767,0.0036290676466813063,0.005037118413048956,2.2978178395871414
1700029J07Rik,48.40886278158521,0.6468619481054163,0.1800509929173129,3.592659710588116,0.0003273199140074909,0.000490724899315807,3.3091619054160435
1700030C10Rik,422.77123415300935,-0.579797466067728,0.0578261079958534,-10.026569073424483,1.1649434659341337e-23,3.561682792888772e-23,22.448344761861105
1700030J22Rik,59.82439527910979,0.21797862745738064,0.14634648917186574,1.4894694685937553,0.13636378733871307,0.1604457613979952,0.7946717514620657
1700030K09Rik,413.5852518684033,0.19335591941258182,0.05597726220826191,3.4541867855774417,0.0005519549459490221,0.00081496454763877,3.0888612834069447
1700030N03Rik,24.240789449869755,-0.43269323242147123,0.23485362304468482,-1.8423953899963643,0.06541733563595052,0.08043046528681068,1.0945794189151392
1700034H15Rik,102.2092358133279,-0.5090977571604153,0.12534438671694614,-4.06159199063349,4.873920555351615e-05,7.699164336795816e-05,4.113556410361723
1700034P13Rik,47.40420583639258,-0.26452453831815465,0.16604095093590418,-1.5931283025490952,0.11113141126507212,0.1324270829849327,0.8780231871917037
1700037C18Rik,49.57210850518959,0.1075415627745884,0.16644028359137866,0.6461270099647852,0.5181971044423621,0.5549614535090108,0.2557371810389478
1700037H04Rik,785.8258680338241,-0.12116534341189694,0.042939568980125804,-2.8217643141219524,0.0047760262633495506,0.0065499667210112255,2.1837609065605688
1700047F07Rik,47.24664804797067,-0.3077261894514157,0.1757102521239585,-1.7513274594491155,0.07988952036319277,0.09708436819511279,1.0128506913393382
1700052K11Rik,119.35423371544435,0.5722915026342368,0.10413514029653853,5.495661704632666,3.892480740567318e-08,7.201697423998438e-08,7.142565129264137
1700054A03Rik,30.274387840134626,0.8005631480493282,0.19906841803904785,4.021547746927367,5.7816985047877444e-05,9.10419430131079e-05,4.040758482156535
1700056N10Rik,148.86049638264038,0.21191206176426033,0.09814865770799813,2.159092816070083,0.030842966885874127,0.03926975615164177,1.405941795503842
1700057H15Rik,84.55507096729868,-1.247969571999934,0.12348682054715403,-10.10609526158616,5.191222004161644e-24,1.6005055105742256e-23,22.795742826232214
1700061N14Rik,20.664736064660584,1.8238962125841476,0.3084945917730722,5.912246960639754,3.3747204318703304e-09,6.542504468585681e-09,8.18425597206119
1700062C10Rik,33.4632404381281,-3.909391168745072,0.31698050659372407,-12.333222666451737,5.999823335154133e-35,2.3705229635968226e-34,33.62515583325155
1700064H15Rik,34.266463197427086,0.4265880146772108,0.20022601943391857,2.1305323647908776,0.03312768674183939,0.04201701831755735,1.376574769973307
1700065D16Rik,36.92729659218868,-0.008164352472861278,0.1831119216896944,-0.04458667899677648,0.9644367607215243,0.9693473989705144,0.013520550691920211
1700066M21Rik,133.5571542698065,-0.07970606277175998,0.10099394352852625,-0.7892162637380984,0.4299856179062024,0.46830929892493445,0.3294672186183222
1700067K01Rik,45.15402069745951,-0.0015342130248899744,0.15714921796292988,-0.0097627786175295,0.9922105534084895,0.9927908689128226,0.003142225867718354
1700082M22Rik,28.8010417762472,0.24440862550404624,0.22864920902517397,1.0689239929849799,0.2851039196761612,0.3204661301835198,0.49421786396634787
1700084C06Rik,376.926635113038,-0.2930226642193858,0.06782770209667909,-4.320103072365952,1.559563394562529e-05,2.53806126055166e-05,4.595497899657208
1700086O06Rik,777.0266639989409,-0.3493407312516366,0.040608148370879144,-8.602724952171307,7.784537554236848e-18,2.0311561552717293e-17,16.692256686754785
1700086P04Rik,98.37636970796036,-0.2754303872342149,0.11694947934775135,-2.3551228168807645,0.01851658457105985,0.024120122896836595,1.6176204837092494
1700088E04Rik,36.80495076808438,0.1962839760872638,0.17440801084156018,1.1254298190785323,0.2604069410587384,0.29469891814521165,0.530621458464385
1700093J21Rik,109.72298014203186,1.1574890425123237,0.10847869516156311,10.670196952391558,1.4032862192667327e-26,4.6226782024069076e-26,25.335106337966465
1700094M23Rik,103.04802603366988,2.5508834302477403,0.14256236482067763,17.893105473217805,1.3345893709400248e-71,9.336062037420973e-71,70.02983627109936
1700096K18Rik,30.23404604029345,0.619564215045807,0.2040438150046225,3.036427323375478,0.002393998136690681,0.0033677833997831355,2.472655848082102
1700102P08Rik,65.75835084707101,0.6047004147591716,0.1465205792171248,4.127068142851679,3.674175460644793e-05,5.841123342028692e-05,4.233503623036649
