Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,p_log10
0610009B22Rik,248.79608024627666,0.044412425072707665,0.06870505830125269,0.6464214742089506,0.5180064369504377,0.5556256164166421,0.2552177398747816
0610009E02Rik,129.62007594819943,-0.015919072105424672,0.0992217146864412,-0.1604393973207564,0.8725349569894453,0.8864110037530862,0.052364861325501715
0610009L18Rik,52.445925026022756,0.18425939883365405,0.1537092345743732,1.1987529528975631,0.23062402119362746,0.26498717105763725,0.5767751512471292
0610012G03Rik,272.2494333824449,-0.05535875563160245,0.07389573221087585,-0.7491468583547622,0.45376869488237515,0.49375097789563366,0.306492031225216
0610030E20Rik,519.4108987945889,0.4051138307847731,0.05280274089843255,7.67221215966838,1.6905502036419054e-14,4.231281975352031e-14,13.373528032040742
0610038B21Rik,116.05756345712972,-0.3506481363798174,0.11364041143004217,-3.085593689492042,0.002031462124605017,0.0029233694780980515,2.534116291670102
0610040B10Rik,70.10718009791995,0.09696423388237337,0.14865667698389065,0.6522696178179808,0.5142272560875165,0.5519733961795398,0.2580818537397398
0610040F04Rik,151.9825504295621,-1.1183395507550222,0.10742630819642017,-10.41029492245261,2.2253118114302927e-25,7.57367139856006e-25,24.120693541687857
0610040J01Rik,98.74828422983853,-1.516164671567085,0.12054741715545222,-12.577330210334669,2.8137940294844722e-36,1.2468890870593052e-35,34.90417217604865
0610043K17Rik,69.16449687174948,-0.16851937742830433,0.12677791972540825,-1.3292486404044572,0.18376595254343286,0.21473945207254655,0.6680881593672345
1110002J07Rik,71.55908640617587,-0.9348054953404474,0.1456412117183672,-6.418550658230734,1.3757782779600203e-10,2.96079387339157e-10,9.528591826573775
1110002L01Rik,1067.0985173937406,-0.6696889385490148,0.03755744251346075,-17.831058073482914,4.056707324326148e-71,3.2611221023052715e-70,69.48663294011932
1110004F10Rik,1991.5009553790676,0.08329346442322035,0.03319351315100615,2.509329580279621,0.012096056663676134,0.016299226353319846,1.7878330089983698
1110006O24Rik,23.106328526194375,-0.47723503285222685,0.250464713647333,-1.9053982730844787,0.05672831953724576,0.07123391879765943,1.1473131631187945
1110017D15Rik,22.214468621218476,0.35864122897702105,0.22430430110426705,1.5989048235428527,0.10984175211192236,0.13279388769730302,0.8768219144290277
1110019D14Rik,1767.5333013261697,-1.421633918259859,0.04352452999203824,-32.66282067881979,5.269947850627654e-234,1.7258523309133557e-232,231.7629963665658
1110020A21Rik,48.056485258600695,0.28740923962186793,0.15485807305511567,1.855952576134509,0.06346031797095969,0.07921313250749495,1.1012028120627826
1110032A03Rik,183.80047338060282,0.21715319102581498,0.08252189163328247,2.6314616246415934,0.008501846811019852,0.011622559933726214,1.9346982056250248
1110032F04Rik,39.033421425546685,-0.07673026020057352,0.18237914939793926,-0.42071837956187175,0.6739607384265542,0.7052168886144524,0.1516772957144092
1110038B12Rik,3029.35798334995,-0.8976207505612342,0.0569804581349131,-15.753133266073961,6.536101549517606e-56,4.163311627130152e-55,54.38056108061507
