,logFC,pval
Tcf12,3.4275882,0.0006105612350543455
Tcf3,5.514573,3.552566526559903e-08
Tfap2b,2.0435073,0.041019227746780455
Tgif1,2.2412126,0.025026500336322633
Tox3,2.5264075,0.011533511691367335
Twist1,6.2368107,4.58243214952027e-10
Twist2,3.3008666,0.0009660589728386178
Usf2,3.436593,0.0005906359041849113
Wt1,2.7129114,0.0066769085091688465
Zbtb16,3.0895245,0.002008344007705293
Zbtb4,3.5601296,0.00037178877810906813
Zbtb7b,2.3112109,0.020834351955527356
Zeb1,3.2605886,0.0011142282100272884
Zeb2,4.2337403,2.311695593845681e-05
Zfp354c,2.450563,0.01427434837025799
Zfp384,2.9560995,0.003120289842458762
