index,trajectories,ect1_ld,ect2_ld,ect3_ld,mes1_ld,mes2_ld,mes3_ld,pluri1_ld,pluri2_ld,endo1_ld
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_64,Mesoderm Progenitors,,,,Mesoderm Gastd5,Mesoderm Gastd5,Mesoderm Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_156,Mesoderm Progenitors,,,,Mesoderm Gastd5,Mesoderm Gastd5,Mesoderm Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_348,Mes1,,,,Mesoderm Gastd5,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_320,x,,,,,,,Pluripotent Gastd5,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_74,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_263,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_284,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_125,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_288,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_47,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_94,Pluripotent 2,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_83,Pluripotent 2,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_166,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_196,Mes1,,,,Mesoderm Gastd5,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_200,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_295,Mesoderm Progenitors,,,,Mesoderm Gastd5,Mesoderm Gastd5,Mesoderm Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_340,Mes2,,,,,Mesoderm Gastd5,,,,
