index,trajectories,ect1_ld,ect2_ld,ect3_ld,mes1_ld,mes2_ld,mes3_ld,pluri1_ld,pluri2_ld,endo1_ld
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_105,x,,,,,,,Pluripotent Gastd5,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_43,End1,,,,,,,,,Endoderm Gastd5
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_238,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_102,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_152,Ect2,,Ectoderm Gastd5,,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_353,Mes1,,,,Mesoderm Gastd5,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_11,Ect1,Ectoderm Gastd5,,,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_126,x,,,,,,,Pluripotent Gastd5,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_157,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_92,End1,,,,,,,,,Endoderm Gastd5
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_160,Mesoderm Progenitors 2,,,,Mesoderm Gastd5,,Mesoderm Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_339,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_96,Mes3,,,,,,Mesoderm Gastd5,,,
