Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,p_log10
0610009B22Rik,372.1956892782908,0.00905282017921226,0.06828139872279797,0.13258105938872167,0.8945247125842215,0.9086622408463272,0.041597518533589124
0610009E02Rik,185.5536902402084,-0.18864207555924478,0.08586566293870852,-2.196944262736302,0.028024427133385453,0.03673460805307855,1.4349245895828626
0610009L18Rik,85.57624603528524,0.3737814860980968,0.1233399196564718,3.0304988615134385,0.002441501074977905,0.0035350013070627718,2.451610421287154
0610012G03Rik,433.44811736683135,0.0909678757318666,0.06234112524769573,1.45919528032948,0.14451136746474444,0.17284206540554273,0.762350552654312
0610030E20Rik,724.5913400117282,0.18889976477338044,0.044170842795393614,4.276571439861228,1.897936695321836e-05,3.178067809951523e-05,4.4978368405541955
0610038B21Rik,174.35969843226735,-0.3797774282549235,0.0923510856295007,-4.112322293411212,3.9169895572608264e-05,6.425515549855818e-05,4.192092021074491
0610040B10Rik,99.83498290771483,-0.08235782076835312,0.1251376801361049,-0.6581376662790723,0.5104496743948967,0.5519672413442747,0.2580866964113507
0610040F04Rik,233.9474660765297,-1.0407787870149963,0.10317660357430845,-10.087352664845385,6.284143168801668e-24,1.9995835899559273e-23,22.69906043604269
0610040J01Rik,166.5006489100036,-0.9843328818448835,0.10228361083137116,-9.623564067049744,6.358883119409271e-22,1.9272494549133577e-21,20.715062068488958
0610043K17Rik,111.15211705493198,0.00905989696825852,0.11348717791410938,0.07983189938087394,0.9363709532453832,0.9437942979936396,0.025122650808897688
1110002J07Rik,102.49037905376413,-1.182927638274658,0.11980456790003984,-9.873810815474462,5.407047906913573e-23,1.6820853802932777e-22,21.774151963800207
1110002L01Rik,1628.172160420139,-0.6423769047801025,0.036546194991938306,-17.577121364393854,3.688328105481955e-69,2.648116197085107e-68,67.57706296234197
1110004F10Rik,2830.7827178947955,-0.09932784201276547,0.035883104751436565,-2.76809497675334,0.005638502117518263,0.007904340433234052,2.102134363322869
1110006O24Rik,33.26221216148006,-0.6646432593111403,0.20063132913317638,-3.3127590899323556,0.0009238051648785732,0.0013829684883416406,2.8591877154042495
1110017D15Rik,29.565652598197858,0.010254089102922524,0.20164305269382507,0.0508526773718921,0.9594429146709569,0.9642035937998341,0.0158312541385041
1110019D14Rik,2641.999998265091,-1.4922787283620675,0.04042366890658054,-36.915964550638314,2.5624669789416e-298,1.3166091397995512e-296,295.88054313439454
1110020A21Rik,66.65620834525953,0.052865525846508686,0.13443848478356996,0.39323208627065326,0.6941480732125449,0.7269960398783061,0.13846795484066446
1110032A03Rik,275.07404922622555,0.18253351054077135,0.06885983638160409,2.650797912577312,0.008030187313246935,0.011105184805250901,1.9544742098095305
1110032F04Rik,54.14246095674741,-0.3536465731241794,0.15323336033858714,-2.30789543701682,0.0210049529218621,0.027864757806016303,1.5549447273778432
1110038B12Rik,4552.630248615484,-0.9281612923129094,0.04746339986610746,-19.555305665654355,3.71770654710791e-85,3.369147379683953e-84,83.47247999086407
1110038F14Rik,621.404379586593,-0.14161693985267942,0.052430975794391696,-2.7010166739606545,0.00691278727962972,0.009609491527261808,2.0172995918056134
1110046J04Rik,86.7228809654189,0.8628391534571479,0.14101284098948613,6.1188693696447185,9.424161848947384e-10,1.940766742551023e-09,8.71202665858917
1110059E24Rik,2518.8089827160275,0.0777765198437465,0.0334489620617334,2.3252296947272137,0.02005968132581195,0.026675792436478284,1.573882670472264
1110059G10Rik,188.58359841657196,0.03550555292352951,0.08108227757557045,0.437895357471151,0.6614621411592521,0.696280145930492,0.15721598833118808
1110065P20Rik,389.8950587181048,-0.33670049949007885,0.06432191725012344,-5.2346154139152725,1.6532873972622132e-07,3.091129227727912e-07,6.509882838444948
1190007I07Rik,256.4278827240363,-0.977540111916219,0.06823083161118973,-14.326955847272776,1.4848805644933438e-46,7.490196835315686e-46,45.12550676930077
1300002E11Rik,38.22678499440499,-0.2710885334774165,0.19483563011088134,-1.3913704250251329,0.16411312813268508,0.19473550417706306,0.71055486069118
1300014J16Rik,31.873399590327438,-0.4653453068015187,0.19317045882353154,-2.40898794585682,0.01599682632170013,0.021497779559553495,1.6676063947277762
