index,ect1_ct,ect2_ct,ect3_ct,mes1_ct,mes2_ct,mes3_ct,pluri1_ct,pluri2_ct,endo1_ct
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_230,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_326,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_242,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_313,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_79,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_187,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_22,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_275,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_256,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_115,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_162,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_259,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_267,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_4,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_369,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_155,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_236,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_273,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_174,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_30,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_114,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_88,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_222,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_10,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_32,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_100,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_176,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_117,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_9,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_327,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_139,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_123,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_80,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_185,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_342,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_280,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_294,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_163,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd4-rep4-H3K27me3-6_255,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_302,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_148,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_335,,,,,,,,,Parietal Endoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_362,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_23,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_298,,,,,,,PGCs,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_119,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_134,,,,,,Endothelium,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_333,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_284,,,,,,Endothelium,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_269,,,,,,,,,Parietal Endoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_125,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_240,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_141,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_350,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_205,,,,,,,,Epidermis Progenitors,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_120,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_349,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_71,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_78,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_279,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_312,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_196,,,,,,,PGCs,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_83,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_320,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_200,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_347,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_29,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_300,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_94,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_228,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_204,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_37,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_66,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_207,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_151,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_206,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_166,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_33,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_341,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_263,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_44,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_46,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_375,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_361,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_346,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_318,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_41,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_34,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_5,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_372,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_383,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_74,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_360,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_87,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_64,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_374,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_197,,,,,,,PGCs,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_368,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_56,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_348,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_235,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_322,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_47,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_241,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_184,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_288,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_262,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_173,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_101,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_150,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_180,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_156,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_2,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_135,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_345,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_186,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_76,,,,,,Endothelium,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_153,Roof Plate Neural Tube,,,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_370,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_12,,,,,,,,Epidermis Progenitors,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_24,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_58,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_299,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_310,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_149,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_91,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_351,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_239,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_146,Roof Plate Neural Tube,,,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_68,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_215,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_384,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_378,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_54,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_330,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_363,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_82,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_295,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_371,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_321,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_379,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_283,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_183,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_190,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_143,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_130,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_103,,,,,,,,,ExE Endoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_356,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_340,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_336,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_65,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_84,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_358,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_195,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_16,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_111,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_210,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_194,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_373,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_77,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_60,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_36,,,,,,,,Epidermis Progenitors,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_227,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_189,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_142,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_167,Early Motor Neurons,,,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_381,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_276,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_217,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_106,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_343,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_131,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_70,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_104,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_15,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_248,,,,preSomitic/Wavefront,preSomitic/Wavefront,preSomitic/Wavefront,,,preSomitic/Wavefront
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_338,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_118,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_179,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_203,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_93,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_133,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_315,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_168,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_108,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_171,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_57,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_39,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_182,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_112,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_364,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_223,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_252,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_218,Roof Plate Neural Tube,Roof Plate Neural Tube,Roof Plate Neural Tube,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_69,,,,,,,PGCs,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_193,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_308,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_132,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_309,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_325,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_48,,,,,,,PGCs,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_50,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_246,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_172,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_26,,,,,,,,,ExE Endoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_138,,,,,,,Reprogramming PGCs,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_192,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_19,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_90,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_17,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_278,Early Motor Neurons,,,,,,,,
PZ-MB-TChIC-Gastd5-rep3-H3K27me3-5_367,,,,,,,,,Visceral Endoderm
