,TA_start,total,TA_ratio,QC
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_13,32077.0,38434.0,83.45995732944789,good
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_61,57986.0,64313.0,90.16217560990779,good
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_164,14765.0,17102.0,86.3349315869489,good
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_141,28348.0,36055.0,78.62432394952157,good
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_265,25636.0,29609.0,86.58178256611166,good
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_175,882.0,1537.0,57.38451528952505,good
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_234,12331.0,16352.0,75.40973581213308,good
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_122,11929.0,13972.0,85.37789865445176,good
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_207,181255.0,220039.0,82.37403369402698,good
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_51,17811.0,28798.0,61.84804500312522,good
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_135,75444.0,86653.0,87.06449863247666,good
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_315,13941.0,19073.0,73.09285377234835,good
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_82,22078.0,25199.0,87.61458788047145,good
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_240,13202.0,19394.0,68.0725997731257,good
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_255,68996.0,83241.0,82.88703883903365,good
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_100,280.0,469.0,59.70149253731343,bad
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_262,57523.0,129874.0,44.291390116574526,good
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_53,49490.0,61733.0,80.16781948066675,good
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_261,39917.0,45242.0,88.22996330843021,good
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_345,34108.0,36774.0,92.75031272094415,good
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_84,10065.0,11959.0,84.1625553976085,good
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_308,12906.0,14488.0,89.08061844284926,good
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_239,71109.0,85158.0,83.50243077573451,good
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_336,7313.0,8843.0,82.69817935089901,good
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_263,156699.0,189582.0,82.6549988922999,good
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_280,20236.0,23501.0,86.10697417131186,good
