,TA_start,total,TA_ratio,QC
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_368,425.0,561.0,75.75757575757575,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_178,591.0,982.0,60.18329938900203,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_302,186.0,274.0,67.88321167883211,bad
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_283,395.0,550.0,71.81818181818181,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_22,795.0,961.0,82.72632674297607,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_253,335.0,832.0,40.26442307692308,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_155,1794.0,2315.0,77.49460043196544,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_374,452.0,637.0,70.95761381475667,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_215,252.0,427.0,59.01639344262295,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_137,639.0,890.0,71.79775280898878,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_276,99.0,183.0,54.09836065573771,bad
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_145,4.0,18.0,22.22222222222222,bad
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_130,399.0,540.0,73.88888888888889,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_258,160.0,227.0,70.48458149779736,bad
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_113,550.0,992.0,55.443548387096776,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_358,1395.0,1921.0,72.61842790213431,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_287,429.0,594.0,72.22222222222221,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_291,2486.0,2963.0,83.9014512318596,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_262,663.0,997.0,66.49949849548646,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_71,1703.0,2331.0,73.05877305877306,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_156,1028.0,1279.0,80.37529319781079,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_16,595.0,871.0,68.31228473019519,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_206,1011.0,1470.0,68.77551020408164,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_233,996.0,1450.0,68.6896551724138,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_90,1710.0,2344.0,72.95221843003414,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_318,1546.0,1919.0,80.56279312141741,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_336,259.0,529.0,48.96030245746692,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_169,49.0,113.0,43.36283185840708,bad
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_115,910.0,1179.0,77.18405428329092,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_93,1248.0,1662.0,75.09025270758123,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_191,1145.0,2076.0,55.154142581888244,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_37,1516.0,1915.0,79.1644908616188,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_34,1277.0,1611.0,79.2675356921167,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_7,9255.0,10651.0,86.89324946014459,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_56,155.0,219.0,70.77625570776256,bad
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_65,1651.0,1967.0,83.93492628368074,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_203,2043.0,2746.0,74.39912600145666,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_351,1346.0,1645.0,81.82370820668693,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_365,620.0,959.0,64.65067778936393,good
