Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,p_log10
0610005C13Rik,7.358881502690803,-4.488160880139866,0.28132333179126606,-15.953745647623544,2.6831034951642596e-57,2.1093231294044872e-56,55.67585688514062
0610009B22Rik,36.62679224011948,-0.8058786701764127,0.10715343725543826,-7.520791593976727,5.4445578006590483e-14,1.419779966900021e-13,12.847778956015187
0610009E02Rik,16.81512381742182,-0.10517878510431587,0.12753043381376977,-0.8247347865052072,0.4095221776478676,0.444715730761991,0.35191750814427797
0610009L18Rik,6.116198806630678,-0.1813246212275951,0.20015197549605493,-0.9059347067557127,0.3649704128499913,0.3996463440777075,0.3983241555557084
0610012G03Rik,42.83298674366272,-0.5542858161916354,0.17245149914746152,-3.2141548141467373,0.0013082911372201806,0.001863742872882182,2.7296140043163377
0610030E20Rik,52.90457742116462,0.5289779606038403,0.07912831031948969,6.685065793368147,2.308209187622943e-11,5.376374808909142e-11,10.26951046246782
0610038B21Rik,13.696926224135993,2.505899940383231,0.2560361011604516,9.787291436737057,1.276700606918672e-22,4.499503630054612e-22,21.346835393473178
0610040B10Rik,7.651694293526884,1.1763084617995796,0.25789562502985025,4.561180367691105,5.086686239522818e-06,8.710195035800474e-06,5.059972120305357
0610040F04Rik,33.258710364820935,-1.1025780248213068,0.127102928467572,-8.674686241415827,4.146922419720731e-18,1.2621981728421678e-17,16.898872452845396
0610040J01Rik,18.146564790824304,-0.3401656781435862,0.20657564197499675,-1.646688229509454,0.09962214479743552,0.11798522126576517,0.928172388665806
0610043K17Rik,15.307597776002034,-1.941626553838769,0.16710708354873768,-11.619055952660934,3.2975987201031493e-31,1.4696994852070235e-30,29.832771457944705
1110002J07Rik,22.171575688350575,-2.184224067821935,0.11938088901626095,-18.296262373489448,8.862422236402316e-75,9.42318612127202e-74,73.025802230866
1110002L01Rik,160.11430644764326,0.022115523822673823,0.06572217112421769,0.3365002014445711,0.7364936996917528,0.7612564457778831,0.11846901704686508
1110004F10Rik,238.00338523296952,0.2924568624760214,0.06951093436515059,4.207350471505747,2.5838225962343464e-05,4.221365914165077e-05,4.374547000933705
1110019D14Rik,325.694745535237,-0.0063386761108116165,0.06992639865902077,-0.09064782732084693,0.927772427632436,0.9360172739209617,0.028716136412182416
1110020A21Rik,4.968648608218982,0.20700745035295462,0.24528733776854095,0.8439385915154408,0.39870372170212787,0.43388257676060676,0.3626277893007306
1110032A03Rik,21.551906014639272,0.13078585265146733,0.13729862860106096,0.9525648870935386,0.34081057496091094,0.37481364376707965,0.4261846085395771
1110038B12Rik,484.4732626664732,0.35176497038327303,0.13351772901211437,2.634593720144511,0.00842380448975329,0.011201181696326012,1.950736157943939
1110038F14Rik,57.22240159541201,0.11819147092367184,0.11890201881936809,0.9940240888863654,0.32021114003590645,0.35361551907457867,0.451468683419835
1110046J04Rik,5.310791690475028,-0.21475052759062072,0.21918367781615003,-0.9797742684596806,0.3271975563528777,0.360888492005492,0.44262696648080174
1110059E24Rik,185.65136473584644,0.5533390578159422,0.052767806250465406,10.486300210956028,9.986252218365094e-26,3.860101460707451e-25,24.41340127997947
1110059G10Rik,16.92956162451662,-0.4164922183970419,0.1539090654431302,-2.7060928295412,0.006808001219198606,0.009130954565433069,2.039483818212699
1110065P20Rik,36.18566787677121,0.5135676570121006,0.1586399521613823,3.2373160103430636,0.0012065971718909962,0.001723300448174778,2.7636389990410954
1190007I07Rik,32.49912320637241,-0.5813896315958307,0.11953844373144748,-4.863620551242646,1.1525777285810804e-06,2.0653574062493182e-06,5.685004783653646
1190028D05Rik,5.497910645962207,-4.086454030896334,0.2742496866112125,-14.90048751337119,3.2718347522680815e-50,2.2346429871246426e-49,48.65079185110322
1500002F19Rik,18.47752651140375,0.6838404844642619,0.16431670739924462,4.161722172309093,3.158564907965659e-05,5.1186005218667947e-05,4.290848763381718
1500004A13Rik,6.220863206257138,-0.4401228054711256,0.25117549905982084,-1.7522521389170382,0.07973046185237492,0.09546203280082557,1.0201693218576693
1500009L16Rik,44.080683903115975,-0.7788960053936395,0.08318515499810304,-9.363401503686582,7.721011807645817e-21,2.5644217517308776e-20,19.591010548035136
1500011B03Rik,91.08249886763444,-0.12005664120015554,0.09076679104510875,-1.3226934633008065,0.1859373382205214,0.21266417122508943,0.6723056720621304
1500015A07Rik,37.49193946736897,0.6516253435514421,0.10270926707009118,6.344367574025798,2.2334100298893816e-10,4.968570561787549e-10,9.303768538111692
