names,names,stat,log2FoldChange,pvals,padj,p_log10
Rbms3,Rbms3,22.98692,3.1157796,6.300337083223804e-117,4.369333769890972e-114,113.35958477861722
Tanc2,Tanc2,22.96826,1.8660765,9.681066870313938e-117,6.608992072357598e-114,113.17986476907576
Ppic,Ppic,22.966328,2.0577345,1.0121479555910456e-116,6.803347127342827e-114,113.16727736945639
Actb,Actb,22.91893,0.56767684,3.0088627380711484e-116,1.9918215437737356e-113,112.70074957455998
Jcad,Jcad,22.767975,2.6308346,9.52466521938034e-115,6.211076837312633e-112,111.20683309805851
Csrp2,Csrp2,22.600317,1.8948456,4.3026700701618084e-113,2.764528794638817e-110,109.55837888219925
Col3a1,Col3a1,22.575043,3.1353128,7.623769096482108e-113,4.8273926897739097e-110,109.31628737156349
Nid1,Nid1,22.303453,2.441164,3.4205486468513344e-110,2.134959870422595e-107,106.67061028373864
Maged1,Maged1,22.301598,0.79763037,3.565468101669252e-110,2.194068546901849e-107,106.65874980835831
Rbms1,Rbms1,22.241941,1.3470769,1.3498950486484756e-109,8.191425634791742e-107,106.0866405070989
Tnrc18,Tnrc18,22.026054,1.2703744,1.6209143718559556e-107,9.570185110913318e-105,104.0190796618187
Tnc,Tnc,21.83309,3.523989,1.1255120110074374e-105,6.556632703056793e-103,102.18331914445663
Tead1,Tead1,21.318964,0.92907995,7.571625270892963e-101,4.2962581780595385e-98,97.36690962816103
Nfxl1,Nfxl1,21.3058,2.3867908,1.0029952780206023e-100,5.6181880374356586e-98,97.25040372931136
Tgfb2,Tgfb2,21.272673,1.888607,2.0335724702944615e-100,1.1106101849954415e-97,96.95443834809105
Itga8,Itga8,21.129747,3.0428414,4.238137349251685e-99,2.2860303571130293e-96,95.64091800673202
Rdx,Rdx,21.064148,0.86628735,1.696488193434275e-98,9.039178738943526e-96,95.04387102586836
Arhgap31,Arhgap31,20.882805,3.451436,7.675169085827394e-97,3.992093006296246e-94,93.39879934923569
F2r,F2r,20.859701,1.198337,1.244478654136734e-96,6.39676669151624e-94,93.19403948896273
Bmp4,Bmp4,20.559769,3.8526683,6.293250191135604e-94,3.1604413115046625e-91,90.50025226998622
Serinc3,Serinc3,20.298044,1.1918255,1.338053372555822e-91,6.56863931464454e-89,88.18252458467816
Il6st,Il6st,20.286915,1.4340721,1.678020764764272e-91,8.14604502592398e-89,88.08905319375208
Cttnbp2,Cttnbp2,20.20169,3.2435389,9.460078814398417e-91,4.5419813569217714e-88,87.34275465272364
Tmsb10,Tmsb10,20.0,0.9937818,5.507305116829333e-89,2.615431172384678e-86,85.5824567043679
Sdk2,Sdk2,19.925259,1.596861,2.4577053394559474e-88,1.1423362126188276e-85,84.94220605563888
Aff4,Aff4,19.862526,0.72018313,8.588091899066777e-88,3.94970866486449e-85,84.40343493726162
Zfhx3,Zfhx3,19.810968,1.0533546,2.3943488208707346e-87,1.0897030659652423e-84,83.96269182717953
Maged2,Maged2,19.624594,1.2247943,9.533483851312489e-86,4.1652744294769395e-83,82.3803563797839
Myrf,Myrf,19.614594,2.4313126,1.160621162777277e-85,5.020663289396238e-83,82.29923890359291
Gfra2,Gfra2,19.54036,3.989349,4.9829394437031663e-85,2.1344079140670102e-82,81.67072257746123
Smarcd3,Smarcd3,19.505514,2.7843275,9.856166804256235e-85,4.180832852861739e-82,81.37873719493005
Mmp2,Mmp2,19.444769,2.1138935,3.2272781123840907e-84,1.3557981539247432e-81,80.8678049617681
Nfib,Nfib,19.365412,2.6402104,1.5114273011516417e-83,6.289120972820607e-81,80.20141005142773
Smtnl2,Smtnl2,19.359745,1.9755988,1.687193469429984e-83,6.954261308760889e-81,80.15774899458161
