names,names,stat,log2FoldChange,pvals,padj,p_log10
Fbn2,Fbn2,88.3181,2.670758,0.0,0.0,inf
Peg3,Peg3,87.6789,2.1974354,0.0,0.0,inf
Cdh11,Cdh11,62.846943,2.4795117,0.0,0.0,inf
Meox1,Meox1,62.674107,4.605727,0.0,0.0,inf
Arhgap28,Arhgap28,59.069763,2.3474236,0.0,0.0,inf
Mrc2,Mrc2,57.241394,2.3140447,0.0,0.0,inf
Col26a1,Col26a1,56.24269,5.055866,0.0,0.0,inf
Pdgfrb,Pdgfrb,53.14397,3.4696202,0.0,0.0,inf
Itga9,Itga9,52.226517,2.9288237,0.0,0.0,inf
Prrx2,Prrx2,51.071968,4.5392184,0.0,0.0,inf
Col5a1,Col5a1,50.47314,2.113654,0.0,0.0,inf
Eya1,Eya1,50.37672,2.8269303,0.0,0.0,inf
Emilin1,Emilin1,49.764294,3.3212914,0.0,0.0,inf
Foxc1,Foxc1,49.712814,2.6538982,0.0,0.0,inf
Dact1,Dact1,48.941326,2.577008,0.0,0.0,inf
Nr2f2,Nr2f2,48.21047,2.0579848,0.0,0.0,inf
Tgfbi,Tgfbi,46.90677,4.2084823,0.0,0.0,inf
Rdh10,Rdh10,46.3689,2.884604,0.0,0.0,inf
Zcchc24,Zcchc24,45.973915,2.3221772,0.0,0.0,inf
Cxcl12,Cxcl12,45.96878,4.0735173,0.0,0.0,inf
Tns1,Tns1,44.411415,2.0278845,0.0,0.0,inf
Prrx1,Prrx1,43.720497,4.2016454,0.0,0.0,inf
Zim1,Zim1,43.64979,3.54941,0.0,0.0,inf
Col3a1,Col3a1,43.470535,3.7685084,0.0,0.0,inf
Twist1,Twist1,42.97183,2.8590813,0.0,0.0,inf
Clmp,Clmp,42.324924,3.0769074,0.0,0.0,inf
Pdgfra,Pdgfra,42.185795,2.1569145,0.0,0.0,inf
Ebf2,Ebf2,41.999336,2.3882747,0.0,0.0,inf
Mfap4,Mfap4,41.74812,2.1086202,0.0,0.0,inf
Colec12,Colec12,40.99662,2.3701358,0.0,0.0,inf
Ets1,Ets1,39.501392,2.1385243,0.0,0.0,inf
Dlk1,Dlk1,38.686924,2.9010916,0.0,0.0,inf
Six1,Six1,37.930454,3.6774957,0.0,0.0,inf
Adgra2,Adgra2,36.755154,2.4441128,9.619092488522049e-296,5.188490986617492e-293,292.2849589333803
Shisa2,Shisa2,35.264828,2.1682887,2.033245400562086e-272,9.762035691863527e-270,269.01045960881316
Plat,Plat,33.511036,2.1391568,3.3287083266411905e-246,1.3466166249933358e-243,242.87075602814352
Ednra,Ednra,33.232067,2.7300494,3.7069119955803053e-242,1.4590873153053976e-239,238.83591871809924
Foxc2,Foxc2,32.76065,3.07046,2.14121885708137e-235,7.995896844849756e-233,232.09713281735552
St3gal1,St3gal1,31.528446,2.2653394,3.5410133845413424e-218,1.2181922502676834e-215,214.9142841676623
Elk3,Elk3,29.896084,2.1031246,2.21252714634843e-196,6.713022468827031e-194,193.17308189920698
Tmem119,Tmem119,29.291452,2.319183,1.332637469105692e-188,3.685079978651696e-186,185.43355308204912
Pcolce,Pcolce,29.05273,4.012673,1.4212886167834178e-185,3.7408145154147172e-183,182.42703382532997
Dact3,Dact3,28.804907,2.20808,1.8619434181621013e-182,4.871267657659903e-180,179.31235800694
Tshz2,Tshz2,28.339327,2.906592,1.1330932641194947e-176,2.878254523409584e-174,173.5408708041365
Serpinf1,Serpinf1,28.131548,2.8620589,4.030407062830959e-174,9.94872966000833e-172,171.002232370196
Cd248,Cd248,28.03162,3.7124572,6.692529284558777e-173,1.642715151526166e-170,169.78443773714028
Eno3,Eno3,27.902903,2.4843283,2.4602874536104197e-171,5.971801063094047e-169,168.22389466823427
Adamts12,Adamts12,26.42863,3.5362751,6.42485249607534e-154,1.3431015808900846e-151,150.87189113971274
Tril,Tril,25.756271,2.2869306,2.741997483824282e-146,5.372224756312408e-144,143.2698458261626
Sned1,Sned1,24.181723,3.538417,3.464337652481256e-129,5.821552937483021e-127,126.2349611489898
Six2,Six2,23.714838,2.8410292,2.534753606405668e-124,4.0418218911485416e-122,121.39342282822686
