names,names,stat,log2FoldChange,pvals,padj,p_log10
Fzd3,Fzd3,65.83092,1.8091965,0.0,0.0,inf
Celsr2,Celsr2,64.21078,2.6240613,0.0,0.0,inf
Tmsb4x,Tmsb4x,63.867107,2.799309,0.0,0.0,inf
Sox11,Sox11,63.7366,1.7183379,0.0,0.0,inf
Srgap3,Srgap3,61.988598,2.8546948,0.0,0.0,inf
Miat,Miat,60.55486,5.0624094,0.0,0.0,inf
Tubb2b,Tubb2b,57.056435,1.9691085,0.0,0.0,inf
Map1b,Map1b,56.83403,1.577522,0.0,0.0,inf
Dcc,Dcc,54.15792,4.688036,0.0,0.0,inf
Hs6st1,Hs6st1,52.45381,1.9737015,0.0,0.0,inf
Tubb3,Tubb3,52.122395,4.655873,0.0,0.0,inf
Trp53i11,Trp53i11,50.055622,2.4862409,0.0,0.0,inf
Setbp1,Setbp1,49.4649,1.741923,0.0,0.0,inf
Srrm4,Srrm4,49.361427,4.6724496,0.0,0.0,inf
Dpysl2,Dpysl2,48.729042,1.1263815,0.0,0.0,inf
Igfbpl1,Igfbpl1,45.14865,4.034903,0.0,0.0,inf
Nova2,Nova2,44.926853,3.4029377,0.0,0.0,inf
Slc1a2,Slc1a2,44.81845,4.590725,0.0,0.0,inf
Map2,Map2,44.605896,4.498246,0.0,0.0,inf
Sox4,Sox4,44.169975,1.6638596,0.0,0.0,inf
Hoxb9,Hoxb9,44.07807,1.4505247,0.0,0.0,inf
Marcks,Marcks,43.92038,0.9036564,0.0,0.0,inf
Dach1,Dach1,43.911343,2.0630121,0.0,0.0,inf
Tagln3,Tagln3,43.788742,3.5067818,0.0,0.0,inf
Spsb4,Spsb4,43.683357,2.304928,0.0,0.0,inf
Dpysl5,Dpysl5,43.561905,1.4022285,0.0,0.0,inf
Nhlh1,Nhlh1,43.052555,5.9921923,0.0,0.0,inf
Spag9,Spag9,42.956066,1.5383341,0.0,0.0,inf
Cdkn1c,Cdkn1c,42.84632,2.1254277,0.0,0.0,inf
Pou3f2,Pou3f2,42.801056,2.5486763,0.0,0.0,inf
Msi1,Msi1,42.564663,1.2466487,0.0,0.0,inf
Zfp462,Zfp462,42.16658,1.0276257,0.0,0.0,inf
Elavl4,Elavl4,41.791714,5.286846,0.0,0.0,inf
Ago1,Ago1,41.315426,1.1705538,0.0,0.0,inf
Crabp2,Crabp2,40.983498,1.4528965,0.0,0.0,inf
Syt11,Syt11,40.517067,2.6717308,0.0,0.0,inf
Crabp1,Crabp1,40.287037,2.6317844,0.0,0.0,inf
Cemip2,Cemip2,39.709736,1.3661224,0.0,0.0,inf
Onecut2,Onecut2,39.11896,4.5382686,0.0,0.0,inf
Kif1b,Kif1b,39.064194,1.1501946,0.0,0.0,inf
Kif5c,Kif5c,38.99409,2.5866094,0.0,0.0,inf
Rnf165,Rnf165,38.160694,1.688043,0.0,0.0,inf
Kalrn,Kalrn,38.06816,2.6556373,0.0,0.0,inf
Tcf4,Tcf4,37.81863,1.2002735,0.0,0.0,inf
Syne2,Syne2,37.802998,1.0022291,0.0,0.0,inf
Prmt8,Prmt8,37.214394,4.3459363,3.9931050464320524e-303,3.115406296136836e-300,299.50648530673715
Fmn2,Fmn2,37.142746,1.9658065,5.741025161787852e-302,4.400546146380229e-299,298.3564934204138
Tcf12,Tcf12,37.063206,1.0645282,1.1005426958301875e-300,8.29031222819254e-298,297.08142911282397
C530008M17Rik,C530008M17Rik,36.782722,1.37402,3.4879576284232815e-296,2.5829213007362985e-293,292.58788882618313
Gsk3b,Gsk3b,36.780907,0.8904355,3.7288167283290343e-296,2.7152621946237306e-293,292.5661882271505
Plch1,Plch1,36.28554,1.4166173,2.7353595377951963e-288,1.927590218803386e-285,284.71498528611147
Phf21b,Phf21b,36.116512,2.9280589,1.2487692697874012e-285,8.660313994647833e-283,282.06246636160034
Chd7,Chd7,35.96538,0.9180823,2.9098896353816435e-283,1.9559382778378367e-280,279.7086448540563
Dpysl4,Dpysl4,35.785313,2.9018996,1.8690668096794984e-280,1.237293908813742e-277,276.9075271250964
Zbtb18,Zbtb18,35.64088,1.9583398,3.2623367425159804e-278,2.1273843972726223e-275,274.67215403029894
Sbk1,Sbk1,35.479916,1.4378574,1.0031985282450002e-275,6.445698073169456e-273,272.190730041397
Elavl3,Elavl3,35.41428,5.1700177,1.0293964787256638e-274,6.425051650286139e-272,271.1921233767369
Dpysl3,Dpysl3,35.37287,2.3520153,4.4627594187148933e-274,2.746231292437639e-271,270.5612628885125
Tox3,Tox3,35.28244,1.5986278,1.091847260958351e-272,6.625541483129349e-270,269.1787786225194
Msi2,Msi2,35.19273,0.85438657,2.5832917166791977e-271,1.5461177862113812e-268,267.8107574237727
Vim,Vim,35.153385,0.92264277,1.0319662270938906e-270,6.011684857061224e-268,267.22100379395783
Vangl2,Vangl2,35.10841,0.8497484,5.016598582278796e-270,2.8839501139255646e-267,266.5400122562391
Adgrv1,Adgrv1,34.911304,1.5349467,5.008576630837263e-267,2.805509250998857e-264,263.5519882948981
Mir124a-1hg,Mir124a-1hg,34.86661,6.080457,2.3849881494845773e-266,1.319019205558616e-263,262.87974888086956
Cep170,Cep170,34.826744,1.1033044,9.578664325436069e-266,5.231267788032841e-263,262.2813930479159
Plk3,Plk3,34.42235,4.4831786,1.167697705879e-259,6.2985037614270855e-257,256.20076260694833
Coro1c,Coro1c,34.097984,1.0904846,7.901050985293375e-255,4.2098148609567424e-252,251.375737003127
Prox1,Prox1,33.932785,2.4911313,2.1889696722655347e-252,1.1251561641288646e-249,248.94878719620803
Btbd17,Btbd17,33.825623,3.9341443,8.286078071640797e-251,4.161230310667334e-248,247.38077824674397
Csrnp3,Csrnp3,33.81671,1.9924347,1.1203796470338345e-250,5.5625576316540074e-248,247.25472547641917
Tbc1d9,Tbc1d9,33.56556,2.8864813,5.3382196321671245e-247,2.6205859994271218e-244,243.58160158354247
Nova1,Nova1,33.450226,2.1016808,2.5544453055392677e-245,1.2400696649368461e-242,241.90655391625083
Stox2,Stox2,33.361904,1.067675,4.895316598735856e-244,2.350343708960091e-241,240.62886862283904
Rcor2,Rcor2,33.19235,1.0846529,1.3881994886355279e-241,6.592589549779875e-239,238.18094396229887
Neurod4,Neurod4,32.566696,6.2322245,1.2152232056741748e-232,5.588875482011618e-230,229.25267556618974
Scrt2,Scrt2,32.279545,6.2655888,1.3549207360033196e-228,6.166441862158441e-226,225.20996535871726
Nfasc,Nfasc,32.211994,3.083416,1.1989717314237356e-227,5.400440610065405e-225,224.2675708056004
