names,names,stat,log2FoldChange,pvals,padj,p_log10
Sox21,Sox21,67.15351,3.5418055,0.0,0.0,inf
Adgrv1,Adgrv1,66.00835,3.261656,0.0,0.0,inf
Fzd3,Fzd3,65.02834,1.7134309,0.0,0.0,inf
Dtx4,Dtx4,64.73934,2.7140162,0.0,0.0,inf
Sox2,Sox2,63.222885,2.3151722,0.0,0.0,inf
Ildr2,Ildr2,62.824932,2.8728669,0.0,0.0,inf
Marcks,Marcks,60.00655,1.312326,0.0,0.0,inf
Srgap3,Srgap3,58.855373,2.1814663,0.0,0.0,inf
Celsr2,Celsr2,55.27268,1.8667506,0.0,0.0,inf
Sfrp2,Sfrp2,54.737114,2.9011588,0.0,0.0,inf
Igdcc3,Igdcc3,54.362583,1.6607062,0.0,0.0,inf
Pou3f2,Pou3f2,53.159355,2.9020257,0.0,0.0,inf
Fat3,Fat3,51.59739,1.8049558,0.0,0.0,inf
Zfp462,Zfp462,51.144768,1.1851263,0.0,0.0,inf
Msi1,Msi1,51.045486,1.5156884,0.0,0.0,inf
Fat4,Fat4,50.99977,2.882397,0.0,0.0,inf
Hes5,Hes5,50.33483,3.1001043,0.0,0.0,inf
Ndnf,Ndnf,50.173576,3.144885,0.0,0.0,inf
Sox11,Sox11,48.256397,1.021497,0.0,0.0,inf
Syne2,Syne2,48.196358,1.3090363,0.0,0.0,inf
Sox3,Sox3,47.18544,2.2773812,0.0,0.0,inf
Vangl2,Vangl2,46.87635,1.1657634,0.0,0.0,inf
Itgb8,Itgb8,46.463047,2.4899604,0.0,0.0,inf
Vim,Vim,45.831665,1.1882728,0.0,0.0,inf
Sall1,Sall1,45.60029,1.2524934,0.0,0.0,inf
Boc,Boc,45.475285,1.6679411,0.0,0.0,inf
Ednrb,Ednrb,45.350693,2.8139303,0.0,0.0,inf
Fgfr2,Fgfr2,45.030666,1.986171,0.0,0.0,inf
Sall2,Sall2,44.88023,1.2604414,0.0,0.0,inf
Pax6,Pax6,44.43609,3.3861437,0.0,0.0,inf
Dpysl2,Dpysl2,44.23491,0.93312055,0.0,0.0,inf
Crabp2,Crabp2,43.960293,1.4765133,0.0,0.0,inf
Kbtbd11,Kbtbd11,43.886078,3.1203458,0.0,0.0,inf
Tubb2b,Tubb2b,43.79952,1.3614012,0.0,0.0,inf
Msi2,Msi2,43.32648,1.0804038,0.0,0.0,inf
Lgr4,Lgr4,43.20566,1.365672,0.0,0.0,inf
Rfx4,Rfx4,42.912743,2.6024764,0.0,0.0,inf
St8sia1,St8sia1,42.26749,2.7239635,0.0,0.0,inf
Hoxb9,Hoxb9,42.12127,1.3275805,0.0,0.0,inf
Zfp41,Zfp41,42.01213,1.4578104,0.0,0.0,inf
Stox2,Stox2,41.7539,1.2371925,0.0,0.0,inf
Hs6st1,Hs6st1,40.55694,1.3546246,0.0,0.0,inf
Nrcam,Nrcam,40.52149,2.2419863,0.0,0.0,inf
Plch1,Plch1,40.506966,1.4855168,0.0,0.0,inf
Notch1,Notch1,40.48648,1.2834609,0.0,0.0,inf
Ccnd2,Ccnd2,40.025845,1.152063,0.0,0.0,inf
Nedd9,Nedd9,39.140476,1.8656876,0.0,0.0,inf
Nr2f1,Nr2f1,38.442757,2.386568,0.0,0.0,inf
Scd2,Scd2,38.38266,0.5741215,0.0,0.0,inf
Trim2,Trim2,38.35539,1.6104078,0.0,0.0,inf
Adgrg1,Adgrg1,37.842182,2.0837083,0.0,0.0,inf
Zfhx4,Zfhx4,37.73263,1.2584766,0.0,0.0,inf
Ntn1,Ntn1,37.156586,1.6857929,3.4317725148541186e-302,2.5851305680429535e-299,298.5875175169613
Fzd7,Fzd7,36.495735,1.0644222,1.2958852192820376e-291,9.596359511127374e-289,288.0178934903026
Rasal2,Rasal2,36.361267,1.4430671,1.7439416761368407e-289,1.2699092628682451e-286,285.89622730899947
Hmgcs1,Hmgcs1,36.292946,0.77026814,2.0905363679950355e-288,1.4973381058044442e-285,284.8246801228997
Tox3,Tox3,35.90388,1.5260043,2.657199499759011e-282,1.872511344257596e-279,278.7275755425291
Meis1,Meis1,35.65377,1.1985844,2.059549503436956e-278,1.4283139262645086e-275,274.84517632935206
Pax7,Pax7,35.61469,3.1386998,8.299902241480655e-278,5.6661098255083017e-275,274.2467150118576
Sox1,Sox1,35.501495,1.7158356,4.6613276247899145e-276,3.133201003918402e-273,272.5040117429758
Zbtb16,Zbtb16,35.122765,1.7347062,3.0290372588787595e-270,1.9462009834951748e-267,266.7108123123124
Gas1,Gas1,34.748436,1.1975106,1.4635215054926022e-264,9.26706059369236e-262,261.0330579972875
Scube2,Scube2,34.68598,2.8131835,1.2817835194411954e-263,8.0003433925578945e-261,260.0968913717215
Plagl1,Plagl1,34.14019,1.3734908,1.869782683330932e-255,1.1506010594001654e-252,251.93907523043964
Fmn2,Fmn2,33.96542,1.7157271,7.222169492004059e-253,4.382552878821519e-250,249.35827283511054
Map1b,Map1b,33.63717,0.6749367,4.802890162444186e-248,2.8745626587308074e-245,244.5414282203127
Megf10,Megf10,33.53971,3.3921628,1.2717893511914444e-246,7.508884938230459e-244,243.12442455049626
Gli3,Gli3,33.482887,0.9320801,8.55344884120716e-246,4.982783110949094e-243,242.30252801625417
Acvr2a,Acvr2a,33.09637,1.4234022,3.3513706619822816e-240,1.9016199427619204e-237,236.7208762767016
Dpysl5,Dpysl5,32.810623,0.9895267,4.15417348710843e-236,2.297468276269043e-233,232.63875047669328
Ckb,Ckb,32.63938,2.2272375,1.1337258891931409e-233,6.115261459844138e-231,230.21358496983945
Armcx4,Armcx4,32.477352,0.9177437,2.227094772989248e-231,1.1866341186179662e-228,227.92568316879607
Pcdh8,Pcdh8,32.394302,2.0976496,3.3014914261532174e-230,1.7378971313260268e-227,226.75997593365238
Hipk2,Hipk2,32.311253,0.892621,4.8613551781590866e-229,2.5285412986779603e-226,225.59712994863952
Fam168b,Fam168b,32.31022,0.584608,5.026330947976427e-229,2.583593240565154e-226,225.58777586036868
Nr2f2,Nr2f2,32.288246,1.3340172,1.0227454584742858e-228,5.1959037007209325e-226,225.2843389066046
Rgma,Rgma,32.0265,1.1345628,4.664460797105705e-225,2.3424707665097168e-222,221.63032582030047
Pea15a,Pea15a,31.960627,1.1928822,3.845631830664884e-224,1.8878595540851623e-221,220.72403031785288
Nrarp,Nrarp,31.888718,1.8430328,3.827834352229792e-223,1.858243452036354e-220,219.73089738886242
Epha4,Epha4,31.79037,1.0370123,8.794208869789542e-222,4.2222832937359877e-219,218.3744526310997
Tenm3,Tenm3,31.727386,0.8578404,6.513212073488691e-221,3.093138572856461e-218,217.5096006231333
Zfp503,Zfp503,31.67052,1.2552338,3.957518647842267e-220,1.859225239170715e-217,216.73066799365822
Cdh2,Cdh2,31.58907,0.8283826,5.216864604403721e-219,2.4247875684149252e-216,215.61532630320866
Cemip2,Cemip2,31.535454,0.8831387,2.8383070133168236e-218,1.3053523338823718e-215,214.88427225000515
Miat,Miat,31.496584,0.5896261,9.674213334287357e-218,4.4028755707119677e-215,214.35626358792607
Tmsb4x,Tmsb4x,31.41595,0.7452931,1.2254450802840063e-216,5.519682577596754e-214,213.25808589668418
Rtn3,Rtn3,31.144258,0.68643945,6.066388042470049e-213,2.6772379794298877e-210,209.5723130227019
Mest,Mest,30.98728,0.8070501,7.998799660053463e-211,3.4947555594739585e-208,207.4565831955647
Ptprf,Ptprf,30.876867,0.58536595,2.4423649139829776e-209,1.0565283708597056e-206,205.9761188363851
Pax3,Pax3,30.685677,1.670969,8.838294371091409e-207,3.785822738895635e-204,203.42183972458292
Fgfbp3,Fgfbp3,30.47818,2.3879137,5.0720454769904656e-204,2.151482902283402e-201,200.66726210088214
Csrnp3,Csrnp3,30.371037,1.5737164,1.3256207551674072e-202,5.569009270578767e-200,199.25422205915137
Irx3,Irx3,30.099653,1.7186302,4.896220492062482e-199,1.9992595282121676e-196,195.69913082551446
Scube3,Scube3,30.081587,1.6681772,8.437441747080148e-199,3.4133358089970254e-196,195.4668209830896
Eml1,Eml1,30.053434,1.3188775,1.968931979392556e-198,7.892165790058731e-196,195.1028038001366
Kif1b,Kif1b,29.842678,0.7832329,1.0925901785272721e-195,4.3005727468500044e-193,192.36647370157573
Zfhx3,Zfhx3,29.548038,0.9417431,6.9593457492523074e-192,2.7148283493802015e-189,188.56625762437113
Tgfbr1,Tgfbr1,29.00944,0.6844122,5.001987352417959e-185,1.9003637340390702e-182,181.72116326611697
Ncam1,Ncam1,28.953268,0.741869,2.552629852894012e-184,9.614392319206231e-182,181.01707816028204
Errfi1,Errfi1,28.832783,1.8587561,8.330129738678158e-183,3.1106982770306616e-180,179.50714211135204
Ptch1,Ptch1,28.611898,0.887552,4.778397891657325e-180,1.769262561732205e-177,176.7522077122288
Hoxb3,Hoxb3,28.605997,1.3690432,5.658635729790764e-180,2.077575240926792e-177,176.68244323896258
Qk,Qk,28.50401,0.5628269,1.0447666585588058e-178,3.741549186810884e-176,175.4269485411211
Nsd2,Nsd2,28.480824,0.67790157,2.0243498017902362e-178,7.190720909757497e-176,175.14322756699755
Nes,Nes,28.422977,1.1343126,1.0517979578500713e-177,3.705976175518344e-175,174.43109737694215
Nrep,Nrep,28.249968,0.85565835,1.4246711992268534e-175,4.9796247492336365e-173,172.30280338323976
Zfp219,Zfp219,27.922926,0.8465243,1.4058171049502384e-171,4.836342923809517e-169,168.31548291280754
Nectin3,Nectin3,27.89746,1.545272,2.8641251713821984e-171,9.776288504910909e-169,168.00982599058742
Syt11,Syt11,27.877085,1.4901179,5.059260665383325e-171,1.7135206025679293e-168,167.7661106694496
Prom1,Prom1,27.796822,1.0000887,4.739007852079681e-170,1.5927076312708717e-167,166.79786393906338
Top2b,Top2b,27.794847,0.54314584,5.0064913280584195e-170,1.6697604016351175e-167,166.77734584245303
Tns1,Tns1,27.725924,1.454886,3.4008707995315845e-169,1.1256624704722307e-166,165.94859181302488
Fsd1l,Fsd1l,27.157003,1.4774837,2.0929623021184745e-162,6.824150443422259e-160,159.1659514073933
Cntfr,Cntfr,27.038368,1.4178777,5.23354541346967e-161,1.693769130814099e-158,157.77114578647667
Ptn,Ptn,27.000603,0.9291062,1.4540154589534082e-160,4.6711315747892176e-158,157.3305778994859
Grb10,Grb10,26.97221,0.6358571,3.1317150166969694e-160,9.98742779521951e-158,157.00054634742776
Sox6,Sox6,26.882915,2.2564137,3.4792438687680607e-159,1.1015336512343865e-156,155.95800223085806
Sfrp1,Sfrp1,26.798784,0.6529607,3.3383541327898738e-158,1.0418287886837313e-155,154.98220364594945
Hoxc5,Hoxc5,26.46529,1.7942226,2.4333604977121723e-154,7.487038979263557e-152,151.12568990582815
Setbp1,Setbp1,26.33722,0.72783774,7.190252411245071e-153,2.1665470213772994e-150,149.66423188087236
Kif21a,Kif21a,26.256937,1.3010292,5.9560942920458135e-152,1.7823816144779016e-149,148.74899930629314
Zswim5,Zswim5,26.205109,1.3722886,2.3239887700905796e-151,6.9073056703420075e-149,148.16069132465037
Mycl,Mycl,26.2005,1.0010384,2.6227617820192364e-151,7.742640879608274e-149,148.11111088378456
Fndc5,Fndc5,26.196539,2.624884,2.909935168280482e-151,8.532750163580036e-149,148.06891097019616
Fabp7,Fabp7,26.02036,2.1009605,2.913711092539663e-149,8.486863422943361e-147,146.071252786764
Dach1,Dach1,25.671179,1.0319915,2.4533680537147665e-145,7.0058891264609065e-143,142.15453674000537
Vezf1,Vezf1,25.601955,0.7859781,1.4509287021838175e-144,4.1163977874748814e-142,141.3854826639004
Golm1,Golm1,25.437735,0.65249294,9.649734787792134e-143,2.720042339441459e-140,139.56542433580304
Ackr3,Ackr3,25.394434,2.1106484,2.905415079094979e-142,8.137210911585816e-140,139.08952442720818
Ago1,Ago1,25.378054,0.5966115,4.4064055962502186e-142,1.2262437382533013e-139,138.91142319730739
Fhl1,Fhl1,25.167292,1.0499066,9.140484687169446e-140,2.4959807279195016e-137,136.60275877227107
Peg12,Peg12,25.102644,1.3796619,4.653468208382202e-139,1.2628240962262535e-136,135.89865713983156
Ptbp2,Ptbp2,25.054192,0.6478061,1.571567469615315e-138,4.238478661417452e-136,135.3727899989528
Meis2,Meis2,25.04498,0.6851696,1.980250478382806e-138,5.30792169638179e-136,135.27507549256723
Ptprd,Ptprd,24.868578,1.4602255,1.6282012493243546e-136,4.3113782293472957e-134,133.36538387561214
Utrn,Utrn,24.866108,0.4865112,1.7315154433176336e-136,4.557327785180165e-134,133.3412897337227
Lrig1,Lrig1,24.855734,1.2197064,2.241930517315654e-136,5.865400373175943e-134,133.2317023375252
Zdbf2,Zdbf2,24.81369,0.43928015,6.379920514854113e-136,1.659197066752923e-133,132.78010202873116
Slitrk5,Slitrk5,24.811428,1.580356,6.748757137127587e-136,1.74473342058131e-133,132.758270919888
Mllt3,Mllt3,24.78778,0.8684228,1.214302802721725e-135,3.120829632571464e-133,132.50572993900965
