,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,p_log10
10236,Phox2b,25.02364180823756,2.0129543133148653,0.4237706055359168,4.750103681139481,2.033123811817626e-06,3.5766297519089987e-06,5.446526015127883
13374,Tceal3,81.18467926484307,2.0139458121864977,0.147915484590004,13.615517116201897,3.238453489760151e-42,1.6190181488420874e-41,40.79074828287245
3885,Draxin,435.8240462833325,2.0143894135535523,0.0835042544445376,24.12319500309391,1.4275319478941733e-128,2.157699944222128e-127,126.66600894965728
12085,Sfrp2,2082.463908192529,2.014492212792639,0.0546130916339892,36.88661733881569,7.573948923519224e-298,3.6064542680916845e-296,295.4429195705421
3498,Dclk1,3421.3213754784524,2.031715579971495,0.0541803853279024,37.49909801629224,9.527806340781732e-308,4.8019525268816507e-306,305.31858213778486
6404,Gm5089,310.3079322004832,2.0318872072894423,0.1126955734849045,18.029875925531467,1.1354616958963086e-72,9.350542124879785e-72,71.02916320891161
13209,Syt1,534.8439979386324,2.0333442900278422,0.1127886216133032,18.027920378344373,1.1763348199750337e-72,9.68199650608295e-72,71.01403507841783
5631,Gm19744,140.69566802717858,2.034627975621277,0.1105077153226185,18.411637320356704,1.05969886473352e-75,9.05322260718681e-75,74.04319680075132
8126,Lrrc4b,460.407751395724,2.041792849187517,0.0906698361358383,22.518986867127175,2.7048139693363855e-112,3.4728558516136234e-111,110.45931324264603
10495,Pmp22,499.7735927805514,2.042737084760624,0.0862705217483367,23.678274378814763,6.038090011030955e-124,8.800870539082957e-123,122.05547436743836
6331,Gm49144,40.34791369874379,2.0427552730769936,0.4528148070395788,4.511237798145686,6.445041719641906e-06,1.1011048053489026e-05,4.958171342046901
12244,Slc10a4,24.83500998492664,2.043592897483329,0.3556544474378182,5.746006867636953,9.137559686705106e-09,1.823869602889589e-08,7.739006214675289
2853,Cldn1,20.691439407565465,2.0436366249353375,0.308650723107677,6.621195001128789,3.5630656435398866e-11,7.856458520549669e-11,10.104773178080892
