,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,p_log10
9537,Plekhg5,423.352313315974,2.0011382419491,0.0704361521586899,28.41066953005345,1.49286737544162e-177,2.4359964268185894e-176,175.61332335307287
3703,Ebf4,644.8331933098568,2.0054366726475368,0.0875466186503083,22.907071724356936,3.9502131441582863e-116,3.823553003263431e-115,114.41753288511012
10665,Rnf152,787.3582364825462,2.008212762308324,0.1069916142982045,18.769814582954876,1.3335007309858768e-78,8.629935503343169e-78,77.06399245001444
13803,Wnk3,1700.817282352188,2.0089958088899293,0.0711517970875831,28.23534880527315,2.1539723040724823e-175,3.444929214791421e-174,173.4628196973968
5487,Gm39526,129.3053503693657,2.0097638642535767,0.1138309043821086,17.655696185169393,9.199233483928532e-70,5.344703014519823e-69,68.27207642193109
11215,Sh3pxd2b,2159.1278544469656,2.009772865885695,0.0542672497356548,37.03472860105579,3.1632229182172997e-300,1.1044602430112933e-298,297.9568499127048
4895,Gm10575,34.29501065489282,2.0106506257837258,0.2234796978986738,8.997016931244282,2.3193379688332333e-19,5.724273065643594e-19,18.242279657219463
13637,Vmn2r73,78.10433693058805,2.010736110528222,0.4038358721033688,4.979092372491215,6.388314926957224e-07,1.0542902425012548e-06,5.977039812876366
843,Aifm3,119.28871509021336,2.0132920851915745,0.113429755729712,17.7492411249565,1.7469871899401298e-70,1.0236087497869988e-69,68.98986601042849
4293,Fank1,89.48391467356743,2.017899830070524,0.1514287404493436,13.32573872095012,1.6400135119488716e-40,6.260220176011368e-40,39.20341039210183
4117,Exoc6,1769.2989442633614,2.0195714486577945,0.0486843080331499,41.48300613172188,0.0,0.0,inf
6492,Igfn1,38.97112433986333,2.0206830202429664,0.1922150669246213,10.512615127280284,7.556848526297308e-26,2.162297297512796e-25,24.665084594474845
4441,Fhit,6835.319176353864,2.020847639958382,0.0627975026565668,32.180382251985264,3.320792535386067e-227,7.553890712361714e-226,225.1218293027176
1462,Atp9a,575.1551187183684,2.0223457170122066,0.0718852197674584,28.132983714236296,3.8706648808713575e-174,6.143037691547204e-173,172.21161681999206
8368,Ndrg1,292.8430195221945,2.022822256055998,0.112433920428318,17.991209844413838,2.2831824535399937e-72,1.3767504682394718e-71,70.86114476714101
4974,Gm12992,78.64759546294415,2.0229620511627964,0.1309562172106209,15.447621306204994,7.827937336268305e-54,3.692279036540617e-53,52.4327054854764
910,Aldoc,193.7026167469863,2.0254246483829133,0.0859802677226549,23.55685440427203,1.0678896893371652e-122,1.0943226024395702e-121,120.96085463064776
10141,Pvr,247.48500867940663,2.025673714717015,0.0801646030830538,25.26892963741532,7.015827346028305e-141,8.557183353867858e-140,139.06766916232883
2912,Crebrf,807.8034882117877,2.0263956154570018,0.0578927731284999,35.00256605361044,2.056411510180339e-268,6.031862911439902e-267,266.21954853741045
9500,Plcd1,127.5274360255819,2.031738395993453,0.1360698902270815,14.93157959194916,2.0534355786372026e-50,9.203303907965689e-50,49.03605623663113
12495,Tex264,948.9195081752796,2.032957685863962,0.0532697715640462,38.163439154600816,0.0,0.0,inf
